Auction Parallel Manual (1 Threads): 
Size				Cost				Total Time in s			Total CPU time in ms
2500				5468				0.537				304.138
2500				5373				0.379				217.387
2500				5373				0.377				218.114
2500				5373				0.376				218.443
2500				5475				0.405				231.949
2500				5475				0.412				237.029
2500				5411				0.324				184.395
2500				5411				0.322				177.736
2500				5411				0.321				178.69
2500				5301				0.364				201.489
2500				5301				0.356				199.938
2500				5489				0.285				159.169
2500				5489				0.299				164.169
2500				5489				0.282				154.921
2500				5489				0.286				152.902
2500				5413				0.331				183.546
2500				5413				0.343				189.284
2500				5443				0.26				144.728
2500				5443				0.258				144.048
2500				5443				0.258				142.049
2500				5443				0.261				143.641
2500				5328				0.332				188.773
2500				5328				0.335				192.406
2500				5328				0.327				184.447
2500				5405				0.333				193.319
2500				5405				0.338				190.127
2500				5405				0.335				188.28
2500				5322				0.316				177.148
2500				5322				0.317				179.884
2500				5350				0.307				178.231
2500				5350				0.308				175.467
2500				5350				0.31				177.208
2500				5366				0.339				193.867
2500				5366				0.336				183.189
2500				5366				0.329				180.789
2500				5329				0.603				340.695
2500				5329				0.603				344.606
2500				5428				0.295				160.917
2500				5428				0.293				162.358
2500				5460				0.501				289.262
2500				5460				0.509				290.528
2500				5329				0.307				167.184
2500				5329				0.305				166.801
2500				5329				0.302				164.387
2500				5417				0.172				93.604
2500				5417				0.174				96.696
2500				5417				0.166				91.906
2500				5417				0.173				96.435
2500				5417				0.172				96.222
2500				5452				0.477				272.843
5000				10848				1.317				755.871
5000				10767				0.986				563.668
5000				10740				1.114				621.368
5000				10838				1.123				631.035
5000				10894				1.205				676.48
5000				10742				1.065				582.448
5000				10780				1.041				586.983
5000				10740				1.407				814.684
5000				10902				1.424				771.961
5000				10737				1.095				618.006
5000				10934				1.089				607.398
5000				10843				1.48				819.091
5000				10992				1.082				600.245
5000				10886				1.009				560.665
5000				10872				1.382				784.386
5000				10886				1.406				767.603
5000				10738				1.348				753.095
5000				10682				1.135				658.659
5000				10738				1.111				623.502
5000				10865				1.04				589.717
5000				10694				1.153				643.843
5000				10807				1.616				920.759
5000				10876				1.516				870.478
5000				10700				1.348				764.793
5000				10875				0.974				546.534
5000				10818				1.061				582.169
5000				10853				0.764				434.034
5000				10850				1.293				728.895
5000				10846				1.159				619.137
5000				10874				1.345				760.321
5000				10831				0.878				504.583
5000				10806				0.883				485.8
5000				10813				1.001				584.743
5000				10950				0.905				506.059
5000				10731				1.335				756.499
5000				10718				1.278				680.665
5000				10973				0.922				500.401
5000				10822				1.179				660.221
5000				10967				1.529				872.568
5000				10829				1.7				960.167
5000				10735				1.297				731.473
5000				10848				1.432				821.827
5000				10854				0.903				500.189
5000				10907				1.737				971.815
5000				10729				1.449				839.819
5000				10885				1.454				823.51
5000				10835				1.191				678.842
5000				10858				1.365				771.604
5000				10931				0.995				555.465
5000				10925				1.147				623.463
7500				16006				3.584				2060.04
7500				16259				2.737				1573.36
7500				16446				2.709				1534.59
7500				16364				2.997				1727.18
7500				16298				2.341				1359.22
7500				16346				2.059				1208.44
7500				16187				2.238				1332.69
7500				16183				2.66				1480.64
7500				16142				1.975				1111.02
7500				16205				2.331				1352.55
7500				16441				2.086				1161.78
7500				16291				2.014				1200.08
7500				16202				2.755				1554.65
7500				15909				2.303				1326.85
7500				16299				2.568				1455.73
7500				16328				2.413				1342.58
7500				16274				2.488				1426.79
7500				16194				1.85				1099.94
7500				16359				2.427				1361.8
7500				16119				3.117				1785.46
7500				16178				2.973				1748.51
7500				16439				2.726				1555.45
7500				16157				2.554				1450.32
7500				15952				1.788				1028.6
7500				16209				2.291				1287.81
7500				16194				3.878				2199.47
7500				16226				1.853				1077.62
7500				16057				2.244				1280.85
7500				16320				2.017				1200.88
7500				16235				2.73				1561.95
7500				16329				1.882				1115.15
7500				16360				2.898				1692.09
7500				16092				2.623				1475.89
7500				16126				1.95				1140.44
7500				16342				1.895				1117.96
7500				16393				3.352				1904
7500				16388				2.529				1423.9
7500				16317				2.207				1250.37
7500				16184				2.674				1552.02
7500				16364				2.77				1612.03
7500				16184				1.876				1084.9
7500				16236				1.685				997.077
7500				16035				1.619				961.872
7500				16406				2.367				1381.37
7500				16291				3.092				1805.76
7500				16209				2.878				1683.72
7500				16099				2.979				1710.62
7500				16375				2.247				1300.32
7500				16305				2.094				1169.37
7500				16127				2.618				1519.79
10000				21633				3.889				2178.6
10000				21472				2.987				1767.5
10000				21760				3.257				1926.09
10000				21589				3.735				2144.04
10000				21844				4.225				2441.05
10000				21647				3.864				2241.45
10000				21758				3.676				2212.11
10000				21751				4.416				2526.01
10000				21832				4.537				2614.71
10000				21592				3.363				1920.36
10000				21593				3.877				2253.18
10000				21606				3.928				2267.33
10000				21788				4.828				2755.28
10000				21722				3.934				2382.12
10000				21364				4.155				2509.78
10000				21601				2.632				1619.23
10000				21602				3.875				2247.16
10000				21624				5.205				3009.32
10000				21701				4.378				2569.95
10000				21645				4.106				2337.99
10000				21814				4.006				2300.28
10000				21682				4.325				2444.99
10000				21569				4.941				2794.61
10000				21519				3.541				2088.58
10000				21647				3.099				1827.88
10000				21609				3.377				1946
10000				21524				4.101				2401.95
10000				21839				3.661				2096.01
10000				21686				2.953				1800.65
10000				21645				3.556				2112.45
10000				21801				4.55				2706.87
10000				21605				3.737				2194.89
10000				21528				4.139				2469.25
10000				21449				3.497				2144.25
10000				21995				4.077				2352.85
10000				21616				4.924				2933.45
10000				21770				3.326				1978.8
10000				21594				3.755				2206.92
10000				21671				5.565				3309.05
10000				21821				3.884				2301.68
10000				21594				4.142				2415.2
10000				21710				3.602				2176.13
10000				21491				4.125				2390.98
10000				21607				3.29				1938.36
10000				21835				4.304				2520.29
10000				21597				3.996				2336.06
10000				21715				3.665				2212.16
10000				21726				5.355				3109.69
10000				21711				4				2296.38
10000				21389				3.306				2030.01
12500				26990				5.871				3449.16
12500				26930				10.281				5875.37
12500				26851				4.994				2966.31
12500				27086				5.197				3162.91
12500				27296				5.232				3168.4
12500				27247				9.158				5424
12500				27001				8.16				4693.01
12500				27058				6.461				3768.78
12500				27022				7.189				4221.14
12500				27295				5.388				3223.53
12500				26932				7.853				4603.19
12500				27105				4.164				2583.25
12500				27217				4.121				2581.49
12500				27230				7.425				4460.39
12500				27038				7.185				4206.86
12500				27308				5.023				3082.38
12500				27360				6.779				3957.96
12500				27182				5.782				3388.19
12500				27105				4.41				2677.59
12500				27346				5.742				3396.38
12500				27545				8.477				4846.97
12500				27104				7.916				4755.16
12500				27189				6.448				3718.42
12500				27125				5.823				3300.71
12500				26947				5.091				3002.75
12500				26930				5.884				3562.34
12500				27237				4.675				2833.67
12500				27265				5.04				3114.27
12500				27182				3.985				2514.29
12500				27351				6.433				3862.63
12500				27143				5.714				3273.14
12500				27117				4.676				2867.38
12500				27164				6.407				3715.37
12500				27168				5.986				3554.06
12500				26908				4.339				2580.54
12500				26929				7.306				4358.35
12500				27153				5.975				3485.31
12500				27286				6.496				3758.93
12500				27381				4.825				2924.68
12500				27105				6.546				3777.93
12500				27013				6.824				4073.09
12500				27251				6.706				3946.8
12500				27047				6.422				3901.05
12500				27132				4.616				2811.71
12500				27056				5.394				3181.82
12500				26805				4.78				2962.62
12500				27184				6.035				3559.86
12500				27003				7.227				4273.06
12500				27151				5.552				3149.17
12500				26992				6.404				3882.13
15000				32628				7.256				4245.47
15000				32730				8.033				4690.67
15000				32498				7.653				4630.65
15000				32414				9.399				5686.49
15000				32436				8.314				4976.31
15000				32658				11.003				6626.71
15000				32637				7.087				4290.98
15000				32012				11.349				6672.34
15000				32706				8.677				5214.62
15000				32197				6.54				3985.47
15000				32556				6.383				4107.79
15000				32308				9.29				5385.94
15000				32366				6.761				4123.15
15000				32560				10.133				5937.66
15000				32550				8.156				4894.99
15000				32332				9.033				5240.6
15000				32339				7.039				4387.81
15000				32654				7.617				4549.76
15000				32509				7.171				4305.99
15000				32505				7.384				4322.15
15000				32508				8.212				5044.57
15000				32599				7.596				4541.74
15000				32565				8.172				4944.72
15000				32673				10.106				5881.45
15000				32695				10.942				6295
15000				32444				7.293				4334.5
15000				32340				8.692				5219.19
15000				32451				7.743				4671.72
15000				32523				8.311				4965.31
15000				32703				8.788				5168.1
15000				32805				6.872				4273.26
15000				32456				6.063				3886.19
15000				32669				7.934				4727.6
15000				32845				7.488				4596.88
15000				32659				7.474				4451.67
15000				32852				7.714				4627.1
15000				32321				8.484				5061.23
15000				32414				12.367				7314.88
15000				32221				11.108				6646.26
15000				32576				8.719				5404.52
15000				32447				9.34				5429.11
15000				32276				11.587				6770.27
15000				32424				9.166				5402.94
15000				32567				7.763				4767.69
15000				32038				8.168				4855.1
15000				32312				11.006				6303.89
15000				32762				6.627				4047.72
15000				32251				8.295				4898.53
15000				32200				8.749				5155.35
15000				32602				7.484				4571.28
17500				38233				11.947				7267.28
17500				37969				16.671				9707.38
17500				37797				12.708				7570.78
17500				37811				11.651				6956.16
17500				38093				12.978				7647.79
17500				37763				10.381				6386.25
17500				37938				11.343				6858.18
17500				37679				11.102				6823.58
17500				37829				14.383				8450.22
17500				37989				12.534				7442.57
17500				38117				13.205				7904.79
17500				37827				13.676				8315.22
17500				37693				12.034				7397.63
17500				37735				14.238				8430.22
17500				37847				18.888				11137.9
17500				37513				12.847				7778.08
17500				37813				12.003				7106.48
17500				37970				7.363				4815.34
17500				37574				17.651				10395.5
17500				37912				15.456				9184.19
17500				37804				13.952				8191.24
17500				37829				17.068				10131
17500				37689				11.238				6872.29
17500				37912				16.267				9547.6
17500				37877				17.39				10261.9
17500				37946				13.107				7882.93
17500				37987				19.436				11060.9
17500				38028				12.308				7722.07
17500				38075				13.214				7710.04
17500				37784				14.719				9163.71
17500				38234				16.049				9499.54
17500				37898				16.988				9696.01
17500				38128				12.257				7208.55
17500				38037				13.983				8434.4
17500				37843				12.783				7416.96
17500				37686				12.768				7534.36
17500				37913				17.423				9848.32
17500				37800				15.531				9189.6
17500				37521				12.291				7372.19
17500				37862				17.18				9862.83
17500				38200				16.307				9551.32
17500				38064				14.482				8471.67
17500				37650				11.895				6887.42
17500				38010				13.557				7833.32
17500				37654				15.079				8763.98
17500				37926				12.5				7537.35
17500				37866				10.365				6133.57
17500				38068				14.07				8261.11
17500				37859				10.422				6251.44
17500				38070				10.1				6346.17
20000				43381				15.507				9396.46
20000				43579				16.785				10372.6
20000				43051				16.239				9636.41
20000				43183				18.222				10578.3
20000				43518				18.166				10802.2
20000				43389				15.825				9653.07
20000				43241				13.667				8367.95
20000				43325				19.669				11524.6
20000				43263				20.706				12027
20000				43269				19.722				11393.9
20000				43241				18.01				10746.5
20000				43334				20.85				11987.5
20000				43499				12.484				7946.05
