Auction Parallel OpenMP (1 Threads): 
Size				Cost				Total Time in s			Total CPU time in ms
2500				5365				0.019				307.876
2500				5365				0.026				377.128
2500				5365				0.019				307.096
2500				5365				0.018				296.925
2500				5365				0.018				280.325
2500				5491				0.027				394.683
2500				5491				0.025				402.376
2500				5491				0.023				370.323
2500				5491				0.027				377.94
2500				5491				0.019				302.877
2500				5491				0.022				349.387
2500				5491				0.029				375.959
2500				5491				0.025				339.867
2500				5491				0.02				323.365
2500				5491				0.025				387.519
2500				5491				0.028				425.399
2500				5491				0.029				451.646
2500				5491				0.019				299.543
2500				5491				0.02				324.208
2500				5491				0.028				382.413
2500				5491				0.021				346.376
2500				5491				0.023				359.5
2500				5491				0.022				353.218
2500				5491				0.026				361.488
2500				5496				0.023				357.985
2500				5496				0.057				779.139
2500				5496				0.042				484.325
2500				5496				0.024				386.196
2500				5496				0.033				482.523
2500				5496				0.031				481.643
2500				5496				0.028				439.083
2500				5496				0.029				422.396
2500				5496				0.033				511.537
2500				5496				0.022				354.971
2500				5496				0.024				370.287
2500				5496				0.031				453.617
2500				5496				0.025				348.775
2500				5496				0.03				449.46
2500				5496				0.04				485.998
2500				5496				0.025				388.76
2500				5496				0.029				399.545
2500				5483				0.035				492.092
2500				5483				0.025				387.396
2500				5483				0.024				375.057
2500				5483				0.026				399.537
2500				5483				0.024				379.696
2500				5483				0.024				377.326
2500				5483				0.035				406.645
2500				5483				0.031				427.613
2500				5483				0.027				412.651
5000				10729				0.106				1037.54
5000				10729				0.116				1044.18
5000				10927				0.104				1024.63
5000				10927				0.086				996.371
5000				10927				0.099				1034.8
5000				10927				0.142				1093.28
5000				10927				0.122				1096.55
5000				10765				0.106				1128.42
5000				10765				0.119				1041.18
5000				10765				0.115				1045.9
5000				10765				0.119				1059.05
5000				10798				0.098				1030.76
5000				10798				0.097				1025.02
5000				10798				0.087				1073.88
5000				10798				0.103				1047.66
5000				10798				0.11				1058.98
5000				10868				0.112				1077.73
5000				10868				0.128				1037.96
5000				10868				0.102				1111.94
5000				10868				0.116				1066.18
5000				10729				0.123				1044.59
5000				10729				0.111				1005.15
5000				10729				0.095				991.714
5000				10729				0.115				1077.8
5000				10729				0.111				993.289
5000				10925				0.089				1124.29
5000				10925				0.083				1006.95
5000				10925				0.104				1100.85
5000				10925				0.089				962.059
5000				10925				0.074				967.208
5000				10918				0.17				1151.91
5000				10918				0.13				1126.2
5000				10918				0.128				1085.41
5000				10918				0.132				1061.23
5000				10708				0.117				1157.64
5000				10708				0.144				1128.07
5000				10708				0.131				1104.18
5000				10708				0.108				1076.8
5000				10816				0.153				1135.31
5000				10816				0.162				1218.26
5000				10816				0.152				1128.4
5000				10816				0.134				1151.13
5000				10720				0.104				1062.53
5000				10720				0.104				1024.31
5000				10720				0.097				1050.65
5000				10720				0.144				1177.17
5000				10840				0.111				1064.91
5000				10840				0.103				1043.29
5000				10840				0.09				1034.89
5000				10840				0.085				1033.55
7500				16134				0.312				2182.53
7500				16323				0.25				2149.41
7500				16208				0.279				1974.51
7500				16208				0.285				2011.92
7500				16214				0.286				2139.56
7500				16214				0.205				1931.93
7500				16208				0.287				1997.9
7500				16208				0.264				1964.42
7500				16345				0.172				1794.32
7500				16345				0.253				1974.78
7500				16240				0.315				2085.4
7500				16255				0.264				1879.18
7500				16255				0.304				2187.88
7500				16405				0.322				1939.98
7500				16405				0.282				1993.58
7500				16326				0.289				2173.67
7500				16326				0.251				1952.13
7500				16204				0.19				1870.24
7500				16204				0.26				2091.51
