Auction Serial: 
Size				Cost				Total Time in s			Total CPU time in ms
2500				5423				0.161				161.852
2500				5423				0.162				162.331
2500				5423				0.162				162.307
2500				5423				0.162				162.29
2500				5423				0.162				162.416
2500				5482				0.129				129.68
2500				5482				0.129				129.12
2500				5482				0.129				129.492
2500				5482				0.129				129.244
2500				5482				0.129				129.24
2500				5482				0.129				129.272
2500				5293				0.145				144.988
2500				5293				0.144				144.308
2500				5293				0.144				144.167
2500				5293				0.143				143.975
2500				5293				0.144				144.095
2500				5293				0.143				143.803
2500				5287				0.139				139.7
2500				5287				0.139				139.532
2500				5287				0.139				139.458
2500				5287				0.139				139.676
2500				5287				0.139				139.326
2500				5439				0.127				127.627
2500				5439				0.127				127.881
2500				5439				0.127				127.603
2500				5439				0.127				127.601
2500				5439				0.127				127.52
2500				5439				0.127				127.761
2500				5439				0.127				127.451
2500				5379				0.174				174.588
2500				5379				0.174				174.631
2500				5379				0.174				174.377
2500				5379				0.174				174.591
2500				5379				0.174				174.74
2500				5421				0.157				157.514
2500				5421				0.157				157.465
2500				5421				0.157				157.413
2500				5421				0.156				156.823
2500				5421				0.157				157.159
2500				5416				0.122				122.099
2500				5416				0.121				121.937
2500				5416				0.122				122.298
2500				5416				0.121				121.968
2500				5416				0.122				122.012
2500				5416				0.122				122.334
2500				5416				0.121				121.85
2500				5472				0.121				121.622
2500				5472				0.121				121.852
2500				5472				0.121				121.417
2500				5472				0.121				121.511
5000				10903				0.449				449.247
5000				10876				0.986				985.919
5000				10861				0.675				675.815
5000				10837				0.903				903.468
5000				10938				0.636				636.086
5000				10893				0.562				562.543
5000				10893				0.562				561.958
5000				10918				0.666				666.779
5000				10904				0.679				679.779
5000				10792				0.652				652.246
5000				10792				0.65				650.898
5000				10767				0.69				690.271
5000				10760				0.694				694.674
5000				10808				0.847				846.97
5000				11019				0.898				897.936
5000				10720				0.507				507.606
5000				10654				0.648				648.615
5000				10654				0.648				648.775
5000				10847				0.593				593.411
5000				10827				0.986				986.758
5000				10821				0.681				681.356
