Hungarian Parallel Manual (2 Threads): 
Size				Cost				Total Time in s			Total CPU time in ms
2500				5425				0.139				88.217
2500				5425				0.139				85.386
2500				5425				0.135				79.193
2500				5425				0.14				89.482
2500				5389				0.129				84.486
2500				5388				0.141				92.031
2500				5388				0.136				91.023
2500				5388				0.133				96.278
2500				5388				0.132				87.237
2500				5388				0.138				90.589
2500				5440				0.133				89.263
2500				5440				0.134				90.322
2500				5440				0.132				86.544
2500				5440				0.133				91.882
2500				5440				0.13				86.881
2500				5440				0.152				95.737
2500				5402				0.13				87.458
2500				5402				0.136				95.506
2500				5402				0.138				90.275
2500				5403				0.147				89.501
2500				5402				0.141				91.809
2500				5402				0.136				94.572
2500				5430				0.127				80.585
2500				5430				0.137				89.25
2500				5429				0.131				84.968
2500				5429				0.134				89.631
2500				5429				0.123				90.79
2500				5429				0.13				88.501
2500				5369				0.138				90.816
2500				5369				0.129				87.059
2500				5369				0.133				85.833
2500				5369				0.133				88.46
2500				5369				0.138				96.279
2500				5369				0.136				88.812
2500				5513				0.124				82.916
2500				5513				0.126				83.634
2500				5513				0.125				81.948
2500				5513				0.116				76.604
2500				5514				0.138				94.066
2500				5513				0.129				86.527
2500				5329				0.133				92.786
2500				5329				0.135				91.382
2500				5330				0.137				91.102
2500				5329				0.128				84.618
2500				5329				0.127				82.218
2500				5329				0.128				86.652
2500				5330				0.129				85.861
2500				5413				0.147				96.503
2500				5413				0.152				97.375
2500				5413				0.144				94.349
5000				10799				0.688				791.223
5000				10922				0.723				823.553
5000				10959				0.674				832.091
5000				10882				0.701				810.848
5000				10892				0.681				783.904
5000				10892				0.665				766.844
5000				10950				0.711				782.332
5000				10850				0.678				778.609
5000				10728				0.699				798.756
5000				10939				0.73				851.898
5000				10873				0.736				827.661
5000				10873				0.744				840.943
5000				10949				0.692				805.103
5000				10898				0.646				776.235
5000				10656				0.665				783.509
5000				10764				0.665				755.946
5000				10823				0.719				843.683
5000				10823				0.719				828.511
5000				10885				0.664				740.69
5000				10676				0.764				872.596
5000				10752				0.666				742.197
5000				10780				0.729				829.131
5000				10871				0.767				843.676
5000				10841				0.766				874.868
5000				10839				0.784				863.396
5000				11001				0.709				839.145
5000				10695				0.633				768.113
5000				10787				0.777				897.705
5000				10841				0.783				892.563
5000				10737				0.756				862.534
5000				11017				0.695				809.52
5000				11109				0.697				823.523
5000				11109				0.697				843.403
5000				10903				0.714				812.507
5000				10944				0.745				870.635
5000				10656				0.701				815.871
5000				10875				0.68				771.274
5000				10855				0.7				794.539
5000				10855				0.687				780.954
5000				10959				0.718				828.638
5000				10645				0.718				814.931
5000				10871				0.754				853.937
5000				10879				0.641				715.884
5000				10815				0.63				745.726
5000				10815				0.627				740.426
5000				10864				0.704				809.479
5000				10900				0.733				826.29
5000				10826				0.666				796.157
5000				10910				0.744				837.48
5000				10682				0.667				811.413
7500				16108				1.287				1629.4
7500				16257				1.327				1753.63
7500				16168				1.402				1681.58
7500				16255				1.247				1604.07
7500				16388				1.307				1701.61
7500				16180				1.36				1703.33
7500				16210				1.245				1629.7
7500				16185				1.316				1690.23
7500				16352				1.337				1655.89
7500				16333				1.208				1535.06
7500				16168				1.245				1620.66
7500				16305				1.293				1643.8
7500				16371				1.232				1614.81
7500				16239				1.175				1547.74
7500				16382				1.321				1700.26
7500				16219				1.26				1661.68
7500				16169				1.328				1664.47
7500				16140				1.412				1745.44
7500				16269				1.302				1597.9
7500				16357				1.359				1743.07
7500				16015				1.36				1743.48
7500				16212				1.19				1536.89
7500				16116				1.179				1602.28
7500				16021				1.334				1660.95
7500				16045				1.389				1740.94
7500				16230				1.283				1639.79
7500				16371				1.314				1666.58
7500				16323				1.29				1655.04
7500				16365				1.17				1553.57
7500				16135				1.354				1725.2
7500				16301				1.154				1493.52
7500				16277				1.29				1592.77
7500				16311				1.337				1707.59
7500				16233				1.393				1822.59
7500				16203				1.227				1571.18
7500				16225				1.165				1527.87
7500				16143				1.259				1564.25
7500				16108				1.395				1703.74
7500				16170				1.336				1658.36
7500				16202				1.26				1618.56
7500				16223				1.355				1717.36
7500				16563				1.26				1578.28
7500				16100				1.201				1574.83
7500				16248				1.267				1649.42
7500				16247				1.412				1820.4
7500				16333				1.193				1517.51
7500				16430				1.382				1811.71
7500				16382				1.277				1662.53
7500				16375				1.342				1686.01
7500				16375				1.3				1613.12
10000				21623				3.052				4808.96
10000				21609				3.173				4855.63
10000				21669				3.134				4751.58
10000				21722				3.139				4678.91
10000				21728				3.192				4986.27
10000				21813				3.437				5168.84
10000				21647				3.034				4776.34
10000				21575				2.98				4642.31
10000				21808				3.247				5019.87
10000				21654				3.167				4881.68
10000				21572				2.94				4507.89
10000				21649				3.226				4894.87
10000				21820				3.217				4843.11
10000				21813				2.857				4422.11
10000				21711				3.022				4748.34
10000				21749				3.171				4948.02
10000				21649				2.788				4389.48
10000				21708				3.02				4646.97
10000				21511				3.306				4898.39
10000				21469				2.923				4559.17
10000				21749				2.926				4529.85
10000				21612				3.138				4900.82
10000				21626				3.232				4889.59
10000				21471				3.207				4972.85
10000				21880				3.069				4725.29
10000				21550				2.927				4495.94
10000				21481				3.317				4901.81
10000				21686				2.919				4561.29
10000				21646				3.526				5422.81
10000				21482				3.259				4931.49
10000				21592				2.77				4365.17
10000				21624				3.063				4736
10000				21633				3.075				4733.25
10000				21730				2.986				4524.98
10000				21829				3.055				4723.59
10000				21688				3.206				4845.16
10000				21414				3.278				4889.63
10000				21751				3.1				4846.64
10000				21410				3.326				5144.03
10000				21738				2.854				4287.85
10000				21713				2.937				4577.14
10000				21669				3.22				4878.99
10000				21752				2.923				4515.09
10000				21571				3.218				4965.49
10000				21606				3.189				4799.19
10000				21530				2.971				4533.07
10000				21682				3.008				4687.08
10000				21781				3.358				4993.74
10000				21686				3.088				4797.98
10000				21573				2.975				4536.64
12500				27071				4.427				7089.54
12500				26861				4.245				6821.08
12500				27143				4.578				7344.09
12500				27138				4.659				7312.15
12500				27268				4.582				7325.56
12500				27235				4.731				7556.46
12500				27242				4.911				7579.2
12500				27101				4.852				7664.05
12500				27096				4.648				7278.18
12500				26834				4.463				7370.66
12500				27089				4.273				6847.59
12500				27085				4.107				6526.35
12500				27238				4.72				7394.47
12500				27177				4.406				6994.02
12500				27086				4.182				6639.69
12500				27153				4.765				7574.29
12500				27063				4.3				6761.12
12500				27157				4.224				6666.42
12500				27049				4.536				7168.2
12500				27226				4.178				6815.36
12500				27184				4.755				7463.75
12500				27186				4.935				7543.25
12500				27075				4.325				7017.13
12500				27094				4.721				7275.06
12500				27147				4.249				6738.58
12500				27099				5.263				7848.36
12500				27129				4.527				7155.49
12500				26862				4.425				7104.44
12500				27310				4.404				6985.52
12500				27246				4.532				7298.18
12500				27327				4.638				7129.03
12500				26806				4.729				7400.95
12500				27063				4.507				7137.44
12500				27006				4.388				6813.04
12500				27228				4.33				7074.85
12500				27246				4.191				6482.23
12500				27152				4.37				6972.72
12500				26930				4.362				6806.21
12500				27014				4.485				7047.53
12500				27167				4.285				6922.08
12500				26975				4.221				6692.7
12500				27215				4.498				7210.71
12500				27090				4.468				7030.19
12500				27034				4.238				6781.86
12500				26895				4.416				7059.89
12500				27239				4.872				7539.5
12500				26927				4.819				7338.15
12500				27377				4.804				7714
12500				27078				4.427				7147.44
