Auction Parallel ThreadPool (2 Threads): 
Size				Cost				Total Time in s			Total CPU time in ms
2500				5372				0.041				71.908
2500				5437				0.065				102.603
2500				5437				0.071				109.473
2500				5437				0.058				96.281
2500				5437				0.061				99.329
2500				5437				0.065				99.636
2500				5437				0.059				95.688
2500				5437				0.063				101.014
2500				5437				0.069				107.522
2500				5437				0.062				100.703
2500				5437				0.063				98.78
2500				5437				0.056				89.695
2500				5389				0.055				92.784
2500				5389				0.054				93.453
2500				5389				0.047				83.789
2500				5389				0.044				83.556
2500				5389				0.045				84.8
2500				5389				0.052				89.714
2500				5389				0.048				89.84
2500				5389				0.048				87.256
2500				5389				0.046				85.646
2500				5389				0.039				74.895
2500				5389				0.048				85.268
2500				5389				0.049				88.669
2500				5389				0.045				81.748
2500				5420				0.044				81.825
2500				5420				0.052				94.474
2500				5420				0.04				78.336
2500				5420				0.043				79.947
2500				5420				0.046				81.372
2500				5420				0.042				76.798
2500				5420				0.045				80.443
2500				5420				0.043				78.854
2500				5420				0.045				83.922
2500				5420				0.046				84.883
2500				5420				0.045				82.243
2500				5420				0.045				81.932
2500				5420				0.044				81.508
2500				5420				0.043				81.322
2500				5358				0.044				79.502
2500				5358				0.05				86.712
2500				5358				0.051				87.299
2500				5358				0.049				87.423
2500				5358				0.051				86.724
2500				5358				0.046				82.879
2500				5358				0.05				85.63
2500				5358				0.046				82.043
2500				5358				0.05				86.696
2500				5358				0.045				82.073
2500				5358				0.048				85.666
5000				10828				0.213				377.366
5000				10793				0.229				407.82
5000				10793				0.236				412.052
5000				10793				0.262				445.958
5000				10757				0.205				369.95
5000				10757				0.228				398.581
5000				10757				0.214				376
5000				10720				0.161				301.831
5000				10720				0.175				335.227
5000				10720				0.161				313.226
5000				10880				0.168				308.348
5000				10880				0.184				327.536
5000				10880				0.171				305.452
5000				10880				0.182				327.349
5000				10803				0.22				381.07
5000				10803				0.223				389.139
5000				10803				0.211				367.424
5000				10882				0.205				341.87
5000				10882				0.228				371.652
5000				10882				0.181				312.765
5000				10779				0.215				364.607
5000				10779				0.207				359.505
5000				10779				0.211				356.107
5000				10821				0.197				345.622
5000				10821				0.211				365.855
5000				10821				0.199				340.402
5000				10921				0.203				359.4
5000				10921				0.203				367.919
5000				10921				0.232				390.675
5000				10794				0.202				363.324
5000				10794				0.181				327.792
5000				10794				0.196				359.615
5000				10794				0.242				409.273
5000				10846				0.242				404.09
5000				10846				0.284				447.763
5000				10830				0.206				356.346
5000				10830				0.174				323.349
5000				10830				0.198				352.759
5000				10830				0.215				365.145
5000				10781				0.246				433.552
5000				10781				0.214				382.637
5000				10781				0.22				401.863
5000				10876				0.243				422.008
5000				10876				0.231				397.378
5000				10853				0.215				384.462
5000				10853				0.228				390.54
5000				10853				0.214				366.658
5000				10853				0.225				392.147
5000				10870				0.244				412.04
5000				10870				0.222				395.27
7500				16310				0.567				927.047
7500				16310				0.571				933.661
7500				16370				0.415				765.87
7500				16002				0.427				786.347
7500				16265				0.411				779.77
7500				16265				0.393				744.273
7500				15984				0.386				687.746
7500				15984				0.355				656.801
7500				16247				0.472				843.508
7500				16425				0.501				917.454
7500				16228				0.52				906.176
7500				16228				0.468				870.345
7500				16147				0.383				697.982
7500				16111				0.387				723.437
7500				16111				0.453				796.506
7500				16172				0.443				783.423
7500				16287				0.379				694.233
7500				16287				0.382				710.397
7500				16189				0.44				784.758
7500				16325				0.586				949.352
7500				16325				0.526				898.059
7500				16428				0.532				894.767
7500				16315				0.479				831.648
7500				16204				0.387				728.488
7500				16204				0.381				708.722
7500				16529				0.403				740.03
7500				16219				0.409				752.284
7500				16219				0.45				801.655
7500				16058				0.484				865.913
7500				16166				0.422				783.454
7500				16166				0.431				791.339
7500				16150				0.419				783.36
7500				16180				0.453				785.511
7500				16180				0.427				780.313
7500				16492				0.534				921.601
7500				16189				0.517				871.804
7500				16082				0.405				753.482
7500				16082				0.434				787.616
7500				16255				0.429				792.342
7500				16089				0.594				984.97
7500				16089				0.545				970.48
7500				16252				0.448				828.09
7500				16173				0.431				829.161
7500				16078				0.485				823.924
7500				16078				0.428				774.975
7500				16389				0.492				859.747
7500				16311				0.515				846.242
7500				16299				0.432				817.471
7500				16299				0.477				874.709
7500				16399				0.619				985.988
10000				21756				0.824				1498.68
10000				21594				0.801				1479.81
10000				21548				0.767				1399.1
10000				21483				0.921				1616.27
10000				21559				0.805				1494.11
10000				21703				0.725				1342.65
10000				21607				0.88				1639.61
10000				21583				0.6				1150.85
