Hungarian Serial : 
Size				Cost				Total Time in s			Total CPU time in ms
2500				5393				0.204				204.815
2500				5393				0.204				204.654
2500				5393				0.204				204.025
2500				5538				0.191				191.103
2500				5538				0.19				190.91
2500				5538				0.191				191.552
2500				5538				0.192				192.033
2500				5538				0.192				192.152
2500				5413				0.179				179.708
2500				5413				0.179				179.363
2500				5413				0.178				178.74
2500				5413				0.177				177.616
2500				5413				0.178				178.364
2500				5373				0.189				189.904
2500				5373				0.19				190.379
2500				5373				0.189				189.496
2500				5373				0.189				189.442
2500				5390				0.178				178.68
2500				5390				0.179				179.737
2500				5390				0.179				179.627
2500				5390				0.179				179.182
2500				5390				0.182				182.197
2500				5401				0.194				194.255
2500				5401				0.193				193.746
2500				5401				0.194				194.252
2500				5401				0.193				193.941
2500				5401				0.192				192.453
2500				5464				0.189				189.786
2500				5464				0.19				190.052
2500				5464				0.189				189.83
2500				5464				0.19				190.253
2500				5371				0.18				180.65
2500				5371				0.181				181.389
2500				5371				0.179				179.939
2500				5371				0.179				179.473
2500				5371				0.18				180.45
2500				5489				0.198				198.018
2500				5489				0.198				198.458
2500				5489				0.198				198.031
2500				5489				0.196				196.891
2500				5489				0.2				200.583
2500				5368				0.177				177.601
2500				5368				0.177				177.558
2500				5368				0.177				177.719
2500				5368				0.177				177.648
2500				5438				0.191				191.214
2500				5438				0.192				192.265
2500				5438				0.192				192.288
2500				5438				0.193				193.211
2500				5438				0.19				190.4
5000				10847				1.316				1316.66
5000				10755				1.166				1166.86
5000				10966				1.344				1344.48
5000				10847				1.265				1265
5000				10771				1.208				1208.52
5000				10835				1.314				1314.09
5000				10776				1.285				1284.96
5000				11018				1.309				1309.21
5000				10779				1.246				1246.23
5000				10876				1.4				1400
5000				10753				1.374				1374.1
5000				10794				1.275				1274.97
5000				10811				1.104				1104.41
5000				11026				1.246				1246.29
5000				10860				1.174				1174.59
5000				10747				1.247				1247.19
5000				10887				1.212				1212.17
5000				10785				1.189				1189.4
5000				10973				1.287				1287.14
5000				10803				1.381				1381.84
5000				10849				1.233				1233.41
5000				10713				1.315				1315.35
5000				10928				1.302				1302.15
5000				10941				1.408				1408.1
5000				10802				1.075				1075.67
5000				10654				1.231				1231.16
5000				10687				1.165				1165
5000				10851				1.356				1356.28
5000				10899				1.239				1239.15
5000				10759				1.263				1263.44
5000				10785				1.24				1240.41
5000				10820				1.307				1307.72
5000				10930				1.37				1370.45
5000				10842				1.274				1274.05
5000				10991				1.166				1166.63
5000				10783				1.232				1232.46
5000				10800				1.33				1330.37
5000				10750				1.29				1290.04
5000				10813				1.191				1191.48
5000				10939				1.253				1253.56
5000				10865				1.35				1350.77
5000				10937				1.393				1393.82
5000				10976				1.294				1294.68
5000				10847				1.323				1323.68
5000				10845				1.309				1309.39
5000				10848				1.182				1182.27
5000				10867				1.187				1187.48
5000				10802				1.339				1339.66
5000				10771				1.367				1367.83
5000				10723				1.285				1284.93
7500				16191				2.293				2293.61
7500				16386				2.458				2458.33
7500				16283				2.547				2547.04
7500				16199				2.438				2438.29
7500				16116				2.587				2587.21
7500				16193				2.358				2358.11
7500				16175				2.455				2455.12
7500				16280				2.39				2390.49
7500				16212				2.549				2548.85
7500				16375				2.521				2521.08
7500				16255				2.588				2587.69
7500				16416				2.58				2580.35
7500				16186				2.5				2500.64
7500				16073				2.631				2631.17
7500				16249				2.616				2616.68
