Hungarian Parallel Manual (8 Threads): 
Size				Cost				Total Time in s			Total CPU time in ms
2500				5345				0.122				155.079
2500				5346				0.121				156.41
2500				5345				0.126				161.585
2500				5345				0.133				178.175
2500				5345				0.12				155.456
2500				5433				0.143				174.989
2500				5433				0.14				179.528
2500				5434				0.141				179.243
2500				5433				0.14				178.234
2500				5433				0.138				176.816
2500				5433				0.138				177.886
2500				5489				0.135				179.735
2500				5489				0.132				175.479
2500				5489				0.136				175.953
2500				5489				0.136				178.128
2500				5489				0.136				176.503
2500				5489				0.136				177.523
2500				5443				0.119				156.025
2500				5443				0.135				172.147
2500				5443				0.131				180.022
2500				5443				0.119				150.144
2500				5444				0.11				141.711
2500				5443				0.133				170.265
2500				5411				0.128				168.141
2500				5412				0.13				173.037
2500				5411				0.127				161.931
2500				5411				0.127				156.129
2500				5411				0.127				162.117
2500				5412				0.132				168.444
2500				5433				0.145				183.351
2500				5433				0.157				199.061
2500				5433				0.145				192.033
2500				5433				0.145				190.443
2500				5433				0.142				181.858
2500				5433				0.146				188.293
2500				5421				0.13				170.82
2500				5422				0.13				167.052
2500				5421				0.125				169.786
2500				5421				0.122				161.693
2500				5422				0.119				153.311
2500				5421				0.14				182.062
2500				5471				0.143				182.98
2500				5471				0.141				177.845
2500				5471				0.146				188.309
2500				5471				0.142				184.631
2500				5471				0.144				183.002
2500				5471				0.142				189.604
2500				5428				0.17				222.075
2500				5426				0.164				213.432
2500				5426				0.172				214.438
5000				10696				0.304				612.517
5000				10851				0.36				684.373
5000				10850				0.358				676.508
5000				10846				0.318				633.765
5000				10843				0.333				656.874
5000				10818				0.359				728.712
5000				10817				0.366				713.812
5000				10910				0.314				655.665
5000				10910				0.314				652.315
5000				10848				0.369				721.24
5000				10848				0.386				735.191
5000				10829				0.36				673.63
5000				10829				0.362				679.75
5000				10676				0.312				639.729
5000				10676				0.309				633.404
5000				10676				0.294				632.062
5000				10651				0.311				621.048
5000				10651				0.323				649.528
5000				10957				0.331				666.538
5000				10957				0.328				672.997
5000				10743				0.354				694.482
5000				10743				0.354				714.328
5000				10728				0.329				669.219
5000				10728				0.362				668.135
5000				10772				0.37				704.554
5000				10771				0.349				685.688
5000				10738				0.347				687.463
5000				10738				0.364				705.464
5000				10858				0.336				692.264
5000				10859				0.325				665.049
5000				10711				0.338				675.326
5000				10711				0.342				682.418
5000				10780				0.409				774.192
5000				10780				0.41				785.37
5000				10746				0.328				648.273
5000				10746				0.323				662.165
5000				10820				0.369				701.806
5000				10820				0.375				696.758
5000				10871				0.291				616.266
5000				10870				0.314				630.064
5000				10711				0.32				660.314
5000				10711				0.313				649.707
5000				10902				0.366				700.351
5000				10901				0.335				673.852
5000				10798				0.298				625.713
5000				10797				0.314				618.865
5000				10798				0.305				622.582
5000				10821				0.331				662.365
5000				10821				0.329				660.041
5000				10904				0.347				696.134
7500				16361				0.579				1327.43
7500				16165				0.573				1369.54
7500				16148				0.506				1260.04
7500				16494				0.533				1285.74
7500				16423				0.546				1280.77
7500				16392				0.551				1293.75
7500				16309				0.557				1342.16
7500				16309				0.575				1371.55
7500				16186				0.497				1239.1
7500				16171				0.458				1128.29
7500				16365				0.495				1227.44
7500				16430				0.568				1340.17
7500				16144				0.519				1224.26
7500				16098				0.544				1287.28
7500				16096				0.589				1335.55
7500				16041				0.591				1341.29
7500				16489				0.515				1216.34
7500				16286				0.543				1294.6
7500				16352				0.504				1264.1
7500				16430				0.52				1275.21
7500				16205				0.483				1225.19
7500				16205				0.483				1223.52
7500				16039				0.496				1223.84
7500				16087				0.538				1230.45
7500				16268				0.624				1402.12
7500				16114				0.554				1340.85
7500				16149				0.488				1259.55
7500				16298				0.534				1289.8
7500				16298				0.55				1322.6
7500				16255				0.533				1252.55
7500				16360				0.52				1308.41
7500				16171				0.553				1288.48
7500				16184				0.502				1175.69
7500				16299				0.499				1240.44
7500				16208				0.539				1258.01
7500				16208				0.54				1342.83
7500				16131				0.566				1308.3
7500				16128				0.551				1304.99
7500				16446				0.521				1283.04
7500				16097				0.479				1214.54
7500				16043				0.55				1284.2
7500				16126				0.53				1242.03
7500				16164				0.501				1191.6
7500				16164				0.495				1197.62
7500				16289				0.554				1293.8
7500				16348				0.602				1374.96
7500				16347				0.593				1369.36
7500				16205				0.553				1278.11
7500				16237				0.606				1388.05
7500				16282				0.471				1205.56
10000				21682				1.18				3945.95
10000				21601				1.092				3676.09
10000				21568				1.08				3770.04
10000				21733				0.971				3531.43
10000				21786				1.117				3939.55
10000				21561				1.19				3732.2
10000				21626				1.167				3859.62
10000				21559				1.015				3703.15
10000				21713				1.147				3960
10000				21683				1.171				4114.27
10000				21782				1.116				3780.28
10000				21296				1.114				3782.79
10000				21732				1.175				3803.14
10000				21761				0.945				3435.72
10000				21845				1.223				3877.67
10000				21639				1.189				3821.3
10000				21678				1.025				3625.61
10000				21686				0.983				3511.08
10000				21621				1.094				3743.84
10000				21516				1.06				3763.32
10000				21724				1.117				3775.21
10000				21473				1.052				3683.6
10000				21689				1.039				3614.84
10000				21624				1.008				3701
10000				21710				1.025				3544.8
10000				21826				1.083				3907.16
10000				21604				1.076				3875.22
10000				21819				0.956				3438.28
10000				21656				0.926				3345.18
10000				21685				1.071				3655.96
10000				21564				1.063				3775.08
10000				21729				1.073				3675.44
10000				21521				1.043				3864.5
10000				21595				1.139				3663.57
10000				21691				1.042				3596.95
10000				21680				1.058				3697.94
10000				21686				0.968				3580.07
10000				21581				1.057				3675.28
10000				21636				1.052				3783.57
10000				21638				1.046				3666.06
10000				21556				1.046				3678
10000				21268				1.041				3596.49
10000				21825				0.915				3420.42
10000				21498				1.146				3589.99
10000				21653				0.935				3415.88
10000				21663				1.115				3580.91
10000				21665				1.119				3623.33
10000				21799				1.22				3979.94
10000				21558				0.972				3584.77
10000				21626				1.127				3709.84
12500				27160				1.63				5967.9
12500				26946				1.406				5296.24
12500				27227				1.474				5478.93
12500				27186				1.574				5814.05
12500				26966				1.561				5587.77
12500				27130				1.528				5981.49
12500				27069				1.52				5565.49
12500				27073				1.474				5777.07
12500				26834				1.476				5501.93
12500				27390				1.435				5562.56
12500				27225				1.606				5874.51
12500				27171				1.393				5441.07
12500				27110				1.767				5963.8
12500				27035				1.668				5898.37
12500				27186				1.841				6067.01
12500				26979				1.568				5802.28
12500				27169				1.361				5331.45
12500				27174				1.584				5976.8
12500				27120				1.46				5492.52
12500				26874				1.625				5894.76
12500				26986				1.728				5964.34
12500				27029				1.587				5875.59
12500				27024				1.564				5871.89
12500				26953				1.5				5603.93
12500				27115				1.578				5764.66
12500				27615				1.613				5900.01
12500				27236				1.583				5626.53
12500				27390				1.388				5185.5
12500				27250				1.308				5234.14
12500				27151				1.37				5284.4
12500				26774				1.534				5755.06
12500				27124				1.65				5857.7
12500				27148				1.673				5870.82
12500				27034				1.454				5464.15
12500				27247				1.427				5334.01
12500				27097				1.47				5726.12
12500				26990				1.545				5565.86
12500				27029				1.53				5393.7
12500				27377				1.629				5702.37
12500				27057				1.455				5830.95
12500				27063				1.417				5596.29
12500				27030				1.425				5298.34
12500				27083				1.492				5647.75
12500				26911				1.524				5600.82
12500				27119				1.535				5869.01
12500				26657				1.449				5396.63
12500				26733				1.484				5156.18
12500				26990				1.595				5907.74
12500				27333				1.578				5784.57
12500				27266				1.596				5572.52
15000				32303				2.194				10557
15000				32614				2.209				10430.1
15000				32483				2.198				10654.2
15000				32413				2.127				10558.8
15000				32465				2.215				10341
15000				32405				2.4				11063.5
15000				32606				2.385				11079.3
15000				32758				2.283				10589.5
15000				32849				2.321				11107.5
15000				32375				2.46				10992.9
15000				32569				2.096				10596.7
15000				32514				2.216				10730.7
15000				32089				2.101				10524.6
15000				32396				2.168				10426.9
15000				32446				2.313				11041.1
15000				32626				2.158				10318.6
15000				32498				2.488				10934.7
15000				32479				2.282				10826.1
15000				32700				2.213				10572.3
15000				32336				2.207				10553.9
15000				32516				2.243				10950.8
15000				32318				2.164				10184.2
15000				32469				2.43				11353.4
15000				32605				2.238				10777.5
15000				32536				2.45				11405.3
15000				32335				2.53				11136.4
15000				32775				2.4				11053.8
15000				32267				2.372				11826.7
15000				32372				2.276				10883
15000				32371				2.218				10459.5
15000				32620				2.041				9932.85
15000				32399				2.39				11397.8
15000				32407				2.096				10324.5
15000				32292				2.091				10299.7
15000				32457				2.257				11041.3
15000				32547				2.217				10569.7
15000				32387				2.31				10161.5
15000				32443				2.24				10583.4
15000				32575				2.312				10816.7
15000				32395				2.452				10962.4
15000				32471				2.316				10517
15000				32278				2.426				11025.5
15000				32563				2.312				10798.6
15000				32275				2.378				10772.8
15000				32399				2.455				10946.3
15000				32285				2.3				10559.8
15000				32595				2.048				10374.5
15000				32370				2.257				10985.6
15000				32575				2.269				10507.3
15000				32380				2.352				10643.1
17500				37835				2.368				11135.1
17500				38238				2.677				12279
17500				38033				2.703				12553
17500				38142				2.595				11980.9
17500				37778				2.487				11703.6
17500				37853				2.452				11710.8
17500				38080				2.482				11439
17500				37786				2.583				12260.5
17500				37977				2.358				11371.3
17500				37840				2.408				11670.7
17500				37666				2.252				11326.5
17500				37870				2.515				12166.1
17500				37913				2.512				11810.7
17500				37867				2.28				11464.1
17500				38066				2.521				12192
17500				37804				2.465				11532.8
17500				38105				2.587				11903.7
17500				38078				2.514				11842.5
17500				38252				2.471				11098.7
17500				37929				2.473				11956.9
17500				37812				2.409				11738.1
17500				38207				2.631				12297.1
17500				37956				2.474				11704.8
17500				38499				2.136				11130.4
17500				38182				2.514				12428.4
17500				37671				2.505				12162.8
17500				38056				2.175				11071.4
17500				38030				2.53				11994.1
17500				37756				2.569				12036.4
17500				37986				2.611				11976.6
17500				37853				2.369				11227.2
17500				37846				2.764				12583.5
17500				37994				2.301				11378.6
17500				38016				2.319				11833.3
17500				37703				2.615				11991.2
17500				38132				2.481				11678.5
17500				37951				2.502				11510.6
17500				37872				2.453				11791.8
17500				37862				2.336				11079.1
17500				38182				2.38				11587.6
17500				37671				2.298				11385.6
17500				37587				2.684				12362.2
17500				37735				2.335				11342.7
17500				37896				2.702				12144.9
17500				37723				2.385				11677.9
17500				37726				2.466				12036.6
17500				37817				2.518				12225.5
17500				38184				2.584				12280.5
17500				37799				2.098				10492.9
17500				38119				2.812				12122.5
20000				43317				4.243				23566.5
20000				42950				3.942				22524.6
20000				43241				4.444				23945.8
20000				43451				4.197				22965.5
20000				43568				4.534				24055.6
20000				42901				4.496				23521.3
20000				43273				4.714				23828.7
20000				43441				4.402				24271.6
20000				43222				4.372				23425.7
20000				43026				4.604				24556.3
20000				43481				4.82				24826.5
20000				43109				4.445				23579.9
20000				43363				4.73				24354.5
20000				43363				4.705				24664.8
20000				43631				4.252				22706.8
20000				42904				4.619				24502.9
20000				43201				4.406				23704.2
20000				43266				4.47				23072.5
20000				43211				4.466				22820.8
20000				43364				4.017				21909.9
20000				43165				4.447				24196.3
20000				43186				4.178				24002.1
20000				43201				4.256				22734.2
20000				43165				4.345				24197.4
20000				43482				4.393				23484.6
20000				43504				3.989				21960.7
20000				43364				4.314				23562.4
20000				43328				4.678				22705.5
20000				43393				4.243				22662.4
20000				43535				4.452				22627
20000				43564				4.64				23885.4
20000				43640				4.069				22926.1
20000				43037				4.747				23899.4
20000				43259				4.291				22370.9
20000				43499				4.242				23275.9
20000				43339				4.565				22607.7
20000				43265				4.141				22949.6
20000				43439				4.724				24547.6
20000				43072				4.196				21828.5
20000				43381				4.436				23530.6
20000				43528				4.592				24013.2
20000				43360				4.471				22681.5
20000				43157				4.968				23247.9
20000				43281				4.873				23921
20000				43103				4.983				25839.7
20000				43184				4.511				23698.2
