Hungarian Parallel OpenMP (8 Threads): 
Size				Cost				Total Time in s			Total CPU time in ms
2500				5388				0.032				195.703
2500				5388				0.034				210.569
2500				5389				0.033				209.907
2500				5388				0.033				206.265
2500				5388				0.032				202.407
2500				5388				0.033				203.898
2500				5388				0.032				197.891
2500				5388				0.033				206.821
2500				5388				0.034				213.597
2500				5388				0.032				195.045
2500				5391				0.032				194.687
2500				5388				0.031				194.039
2500				5388				0.033				198.521
2500				5391				0.033				205.711
2500				5388				0.031				188.368
2500				5389				0.033				207.254
2500				5507				0.034				208.445
2500				5507				0.032				199.371
2500				5507				0.031				187.765
2500				5507				0.033				206.994
2500				5507				0.03				181.012
2500				5507				0.031				190.405
2500				5507				0.034				211.525
2500				5507				0.032				203.445
2500				5507				0.031				187.647
2500				5507				0.032				194.548
2500				5508				0.033				207.404
2500				5508				0.033				207.575
2500				5507				0.032				202.33
2500				5507				0.033				204.686
2500				5508				0.033				207.39
2500				5507				0.033				204.352
2500				5507				0.033				206.204
2500				5429				0.033				207.35
2500				5428				0.034				216.555
2500				5428				0.032				199.871
2500				5429				0.032				193.87
2500				5428				0.032				189.728
2500				5430				0.032				196.873
2500				5429				0.032				190.426
2500				5429				0.033				205.942
2500				5429				0.033				210.3
2500				5428				0.032				203.693
2500				5428				0.032				195.893
2500				5429				0.034				208.238
2500				5428				0.032				197.66
2500				5428				0.033				202.181
2500				5429				0.033				205.575
2500				5428				0.032				199.358
2500				5386				0.033				209.514
5000				10938				0.201				1165.04
5000				10938				0.216				1292.61
5000				10938				0.216				1290.39
5000				10920				0.215				1289.96
5000				10918				0.204				1195.66
5000				10918				0.211				1260.56
5000				10869				0.214				1277.32
5000				10869				0.2				1161.31
5000				10869				0.192				1098.29
5000				10895				0.221				1328.07
5000				10895				0.219				1319.96
5000				10895				0.207				1215.12
5000				10826				0.193				1100.73
5000				10826				0.195				1121.78
5000				10826				0.204				1192.78
5000				10968				0.213				1262.98
5000				10968				0.209				1234.4
5000				10968				0.199				1148.3
5000				10614				0.205				1199.96
5000				10614				0.205				1200.92
5000				10614				0.197				1135.45
5000				10826				0.21				1239.68
5000				10825				0.199				1155.84
5000				10825				0.191				1082
5000				10737				0.201				1165.78
5000				10736				0.195				1121.59
5000				10736				0.186				1047.48
5000				10895				0.221				1324.01
5000				10895				0.223				1345.78
5000				10793				0.224				1354.98
5000				10791				0.216				1283.97
5000				10792				0.223				1339.34
5000				10735				0.22				1321.62
5000				10735				0.207				1213.87
5000				10735				0.22				1321.59
5000				10685				0.219				1310.28
5000				10685				0.22				1317.99
5000				10685				0.212				1248.35
5000				10804				0.211				1245.44
5000				10804				0.207				1213.02
5000				10804				0.216				1280.54
5000				10953				0.211				1250.52
5000				10953				0.214				1274.15
5000				10953				0.213				1261.26
5000				10747				0.212				1250.15
5000				10747				0.203				1178.41
5000				10747				0.209				1228.46
5000				10765				0.222				1329.5
5000				10765				0.219				1306.96
5000				10769				0.209				1229.58
7500				16208				0.438				2458.43
7500				16200				0.403				2173.56
7500				16200				0.412				2248.41
7500				16262				0.435				2434.63
7500				16336				0.41				2231.58
7500				16256				0.401				2164.76
7500				16256				0.405				2191.97
7500				16244				0.418				2299.22
7500				16299				0.404				2184.11
7500				16298				0.427				2373.68
7500				16098				0.429				2382.09
7500				16251				0.397				2134.45
7500				16250				0.446				2524.98
7500				16250				0.416				2284.27
7500				16178				0.432				2412.29
7500				16153				0.421				2327.28
7500				16372				0.426				2364.98
7500				16373				0.43				2398.54
7500				16164				0.406				2204.97
7500				16225				0.413				2260.13
7500				16296				0.417				2286.64
7500				16296				0.414				2266.94
7500				16208				0.446				2522.63
7500				16300				0.426				2361.39
7500				16300				0.418				2301.1
7500				16077				0.407				2207.9
7500				16450				0.407				2204.02
7500				16248				0.395				2111.79
7500				16248				0.384				2027.57
7500				16192				0.427				2367.88
7500				16116				0.395				2115.7
7500				16351				0.432				2410.38
7500				16351				0.425				2353.45
7500				16290				0.408				2213.88
7500				16397				0.403				2172.31
7500				16399				0.426				2356.25
7500				16277				0.398				2145.86
7500				16446				0.409				2228.95
7500				16191				0.439				2460.12
7500				16191				0.42				2312.85
7500				16428				0.437				2453.15
7500				16292				0.404				2185.49
7500				16224				0.413				2257.18
7500				16224				0.432				2407.26
7500				16339				0.433				2420.01
7500				16150				0.412				2252.67
7500				16166				0.43				2392.48
7500				16166				0.41				2229.62
7500				16072				0.401				2159.23
7500				16089				0.399				2140.61
10000				21252				1.024				5917.89
10000				21778				0.997				5656.51
10000				21554				0.971				5499.65
10000				21645				1.036				5999.54
10000				21535				0.948				5312.12
10000				21694				1.007				5785.97
10000				21490				0.995				5692.03
10000				21584				1.021				5878.84
10000				21745				1.005				5757.75
10000				21737				1.057				6191.91
10000				21798				1.014				5851.57
10000				21628				1.089				6438.36
10000				21731				1.12				6689.28
10000				21401				1.023				5901.28
10000				21744				0.996				5700.82
10000				21891				1.07				6275.62
10000				21804				0.98				5595.93
10000				21759				0.996				5686.6
10000				21714				1.074				6343.61
10000				21563				1.011				5810.62
10000				21747				1.001				5725.09
10000				21604				1.04				6013.54
10000				21511				0.987				5636.84
10000				21799				1.035				6001.31
10000				21696				1.017				5888.93
10000				21534				1.036				6011.2
10000				21595				1.036				6033.07
10000				21653				1.017				5853.85
10000				21653				1.03				5982.63
10000				21536				0.999				5715.77
10000				21662				1.045				6081.78
10000				21660				0.988				5621.45
10000				21666				1.013				5824.05
10000				21666				1.007				5771.15
10000				21600				1.042				6085.49
10000				21706				1.026				5918.81
10000				21636				1.004				5753.6
10000				21464				1.036				6000.68
10000				21825				0.995				5720.4
10000				21686				1.02				5885.2
10000				21596				1.008				5795.51
10000				21675				1.082				6393.52
10000				21783				1.154				6936.16
10000				21565				1.065				6241.86
10000				21529				0.991				5638.4
10000				21764				1.055				6149.07
10000				21506				1.053				6143.03
10000				21688				1.053				6143.84
10000				21560				0.999				5723.86
10000				21603				1.063				6233.67
12500				26929				1.496				8210.79
12500				26883				1.522				8481.5
12500				27129				1.497				8246.54
12500				26966				1.402				7528.42
12500				27061				1.583				8987.31
12500				27360				1.514				8445.84
12500				27077				1.508				8418.04
12500				26945				1.485				8199.36
12500				26792				1.468				8100.36
12500				27115				1.496				8262.3
12500				26968				1.498				8327.96
12500				27147				1.544				8648.19
12500				27110				1.538				8611.3
12500				27013				1.522				8458.47
12500				27159				1.52				8482.51
12500				27453				1.536				8542.73
12500				27000				1.516				8446.37
12500				27148				1.566				8782.31
12500				27142				1.531				8587.51
12500				27158				1.549				8671.8
12500				27029				1.687				9816.77
12500				27299				1.499				8333.37
12500				27065				1.531				8584.92
12500				27361				1.531				8573.9
12500				27086				1.55				8663.99
12500				27118				1.46				7984.45
12500				27180				1.497				8273.83
12500				27153				1.544				8592.99
12500				27402				1.525				8425.34
12500				27228				1.446				7816.32
12500				26951				1.45				7873.59
12500				26970				1.545				8596.55
12500				27024				1.535				8595.88
12500				26978				1.6				9010.85
12500				27110				1.582				8901.12
12500				27060				1.455				7920.62
12500				27166				1.555				8682.79
12500				27145				1.47				7982.69
12500				26919				1.488				8215.95
12500				27088				1.545				8601.18
12500				27288				1.519				8390.86
12500				27254				1.494				8245.96
12500				27045				1.528				8488.8
12500				26856				1.529				8482.1
12500				27290				1.559				8760.52
12500				27114				1.587				8939.54
12500				26900				1.483				8188.53
12500				26690				1.568				8892.14
12500				27209				1.531				8548.35
12500				26655				1.509				8308.25
15000				32453				2.59				14844.9
15000				32554				2.619				15087.8
15000				32501				2.763				16239.8
15000				32177				2.641				15229.7
15000				32602				2.635				15172.1
15000				32456				2.705				15784.1
15000				32296				2.683				15614.6
15000				32285				2.561				14609.8
15000				32383				2.523				14302
15000				32599				2.646				15318.3
15000				32650				2.539				14432.5
15000				32601				2.61				15036.8
15000				32487				2.527				14385.3
15000				32561				2.749				16106
15000				32371				2.55				14459.2
