Hungarian Parallel ThreadPool (8 Threads): 
Size				Cost				Total Time in s			Total CPU time in ms
2500				5418				0.039				210.157
2500				5420				0.034				187.519
2500				5270				0.041				203.283
2500				5271				0.033				180.945
2500				5270				0.031				169.451
2500				5271				0.034				183.115
2500				5271				0.035				186.278
2500				5271				0.033				184.237
2500				5270				0.037				194.897
2500				5270				0.034				182.402
2500				5272				0.035				182.588
2500				5270				0.036				182.348
2500				5271				0.037				186.053
2500				5270				0.033				177.849
2500				5270				0.031				170.873
2500				5271				0.028				156.389
2500				5271				0.039				199.07
2500				5271				0.032				176.899
2500				5517				0.037				201.727
2500				5518				0.048				249.979
2500				5518				0.042				208.965
2500				5518				0.046				228.16
2500				5517				0.039				210.694
2500				5519				0.045				220.724
2500				5517				0.041				221.394
2500				5519				0.052				255.957
2500				5517				0.043				225.271
2500				5517				0.048				237.63
2500				5518				0.047				234.339
2500				5518				0.043				217.541
2500				5519				0.041				217.036
2500				5517				0.04				204.198
2500				5413				0.034				189.426
2500				5413				0.033				184.752
2500				5413				0.038				202.056
2500				5414				0.04				202.826
2500				5413				0.037				196.384
2500				5413				0.046				223.558
2500				5414				0.04				223.509
2500				5414				0.048				234.24
2500				5414				0.034				186.892
2500				5415				0.037				198.746
2500				5414				0.037				202.408
2500				5416				0.039				207.886
2500				5413				0.041				207.394
2500				5413				0.042				216.151
2500				5414				0.034				182.44
2500				5286				0.034				187.074
2500				5286				0.043				217.141
2500				5286				0.037				196.328
5000				10566				0.157				1075.45
5000				10566				0.166				1128.78
5000				10566				0.165				1100.53
5000				10834				0.156				1083.4
5000				10834				0.162				1118.37
5000				10834				0.177				1218.13
5000				10834				0.176				1208.79
5000				10822				0.171				1134.29
5000				10822				0.163				1064.54
5000				10822				0.195				1185.18
5000				10819				0.191				1244.46
5000				10819				0.161				1115.5
5000				10820				0.179				1210.37
5000				10820				0.225				1356.37
5000				10882				0.16				1080.39
5000				10882				0.148				1011.03
5000				10882				0.161				1044.33
5000				10850				0.174				1172.24
5000				10850				0.209				1303.15
5000				10850				0.165				1093.24
5000				10850				0.196				1254.33
