Auction Serial: 
Size				Cost				Total Time in s			Total CPU time in ms
500				1116				0.007				7.11
500				1116				0.005				5.39
500				1116				0.005				5.415
500				1116				0.005				5.335
500				1116				0.005				5.358
500				1116				0.005				5.332
500				1116				0.005				5.365
500				1116				0.005				5.346
500				1116				0.005				5.567
500				1116				0.005				5.343
500				1116				0.005				5.611
500				1116				0.005				5.44
500				1116				0.005				5.574
500				1116				0.005				5.356
500				1116				0.005				5.419
500				1116				0.005				5.35
500				1116				0.005				5.399
500				1116				0.005				5.41
500				1116				0.005				5.356
500				1116				0.005				5.467
500				1116				0.005				5.387
500				1116				0.005				5.341
500				1116				0.005				5.523
500				1116				0.005				5.355
500				1142				0.004				4.948
500				1142				0.004				4.791
500				1142				0.004				4.881
500				1142				0.004				4.835
500				1142				0.004				4.911
500				1142				0.004				4.856
500				1142				0.004				4.864
500				1142				0.004				4.946
500				1142				0.004				4.863
500				1142				0.004				4.893
500				1142				0.004				4.862
500				1142				0.004				4.931
500				1142				0.005				5.535
500				1142				0.004				4.832
500				1142				0.004				4.892
500				1142				0.004				4.844
500				1142				0.004				4.917
500				1142				0.004				4.846
500				1142				0.004				4.849
500				1142				0.004				4.806
500				1142				0.004				4.84
500				1142				0.004				4.997
500				1142				0.004				4.835
500				1142				0.004				4.819
500				1142				0.004				4.83
500				1142				0.004				4.802
1000				2195				0.019				19.761
1000				2195				0.019				19.89
1000				2195				0.019				19.672
1000				2195				0.019				19.757
1000				2195				0.019				19.793
1000				2195				0.019				19.658
1000				2195				0.019				19.7
1000				2195				0.019				19.855
1000				2195				0.019				19.738
1000				2195				0.019				19.621
1000				2195				0.019				19.607
1000				2195				0.019				19.67
1000				2195				0.019				19.797
1000				2195				0.019				19.81
1000				2195				0.019				19.887
1000				2195				0.019				19.693
1000				2195				0.019				19.652
1000				2195				0.019				19.674
1000				2195				0.019				19.767
1000				2195				0.019				19.882
1000				2195				0.019				19.707
1000				2195				0.019				19.779
1000				2195				0.019				19.788
1000				2195				0.019				19.766
1000				2195				0.019				19.853
1000				2195				0.019				19.884
1000				2195				0.019				19.782
1000				2195				0.019				19.556
1000				2195				0.02				20.958
1000				2195				0.019				19.789
1000				2195				0.019				19.72
1000				2195				0.019				19.691
1000				2195				0.019				19.747
1000				2195				0.019				19.773
1000				2122				0.019				19.02
1000				2122				0.019				19.012
1000				2122				0.019				19.083
1000				2122				0.019				19.061
1000				2122				0.019				19.081
1000				2122				0.018				18.94
1000				2122				0.018				18.933
1000				2122				0.018				18.977
1000				2122				0.019				19.212
1000				2122				0.019				19.027
1000				2122				0.019				19.105
1000				2122				0.018				18.949
1000				2122				0.019				19.093
1000				2122				0.019				19.059
1000				2122				0.019				19.082
1000				2122				0.018				18.957
1500				3272				0.049				49.019
1500				3272				0.048				48.871
1500				3272				0.048				48.965
1500				3272				0.049				49.044
1500				3272				0.048				48.945
1500				3272				0.048				48.868
1500				3272				0.049				49.109
1500				3272				0.048				48.982
1500				3272				0.048				48.877
1500				3272				0.049				49.034
1500				3126				0.046				46.41
1500				3126				0.046				46.432
1500				3126				0.046				46.151
1500				3126				0.046				46.416
1500				3126				0.046				46.326
1500				3126				0.046				46.067
1500				3126				0.046				46.212
1500				3126				0.046				46.178
1500				3126				0.046				46.339
1500				3126				0.046				46.191
1500				3126				0.046				46.12
1500				3126				0.046				46.285
1500				3126				0.046				46.167
1500				3126				0.046				46.214
1500				3126				0.046				46.077
1500				3126				0.046				46.354
1500				3126				0.046				46.298
1500				3254				0.045				45.044
1500				3254				0.045				45.099
1500				3254				0.045				45.125
1500				3254				0.044				44.956
1500				3254				0.044				44.99
1500				3254				0.045				45.143
1500				3254				0.045				45.091
1500				3254				0.045				45.02
1500				3254				0.045				45.1
1500				3254				0.045				45.087
1500				3254				0.045				45.131
1500				3254				0.044				44.996
1500				3254				0.044				44.822
1500				3254				0.045				45.151
1500				3254				0.044				44.905
1500				3254				0.044				44.91
1500				3254				0.045				45.115
1500				3298				0.058				58.411
1500				3298				0.058				58.501
1500				3298				0.058				58.522
1500				3298				0.058				58.539
1500				3298				0.058				58.294
1500				3298				0.058				58.521
2000				4347				0.08				80.274
2000				4347				0.08				80.199
2000				4347				0.08				80.252
2000				4347				0.08				80.379
2000				4347				0.08				80.601
2000				4347				0.08				80.161
2000				4429				0.088				88.539
2000				4429				0.088				88.056
2000				4429				0.088				88.065
2000				4429				0.088				88.092
2000				4429				0.088				87.997
2000				4429				0.087				87.778
2000				4429				0.088				88.191
2000				4429				0.088				88.073
2000				4429				0.088				88.4
2000				4380				0.077				77.78
2000				4380				0.077				77.606
2000				4380				0.077				77.942
2000				4380				0.077				77.756
2000				4380				0.077				77.837
2000				4380				0.077				77.878
2000				4380				0.077				77.813
2000				4380				0.078				78.09
2000				4380				0.077				77.75
2000				4380				0.077				77.709
2000				4358				0.093				93.943
2000				4358				0.094				94.01
2000				4358				0.094				94.149
2000				4358				0.094				94.072
2000				4358				0.093				93.952
2000				4358				0.094				94.04
2000				4358				0.094				94.036
2000				4358				0.094				94.047
2000				4265				0.097				97.192
2000				4265				0.097				97.238
2000				4265				0.097				97.453
2000				4265				0.097				97.104
2000				4265				0.096				96.849
2000				4265				0.097				97.15
2000				4265				0.096				96.912
2000				4265				0.096				96.688
2000				4265				0.097				97.312
2000				4299				0.11				110.803
2000				4299				0.11				110.964
2000				4299				0.11				110.876
2000				4299				0.111				111.211
2000				4299				0.11				110.963
2000				4299				0.11				110.726
2000				4299				0.11				110.895
2000				4302				0.08				80.954
2500				5400				0.15				150.644
2500				5400				0.15				150.613
2500				5400				0.15				150.797
2500				5400				0.15				150.614
2500				5400				0.15				150.555
2500				5411				0.166				166.127
2500				5411				0.166				166.127
2500				5411				0.166				166.062
2500				5411				0.166				166.031
2500				5411				0.165				165.94
2500				5273				0.138				138.122
2500				5273				0.138				138.299
2500				5273				0.137				137.917
2500				5273				0.138				138.126
2500				5273				0.137				137.827
2500				5273				0.138				138.211
2500				5433				0.14				140.804
2500				5433				0.14				140.83
2500				5433				0.141				141.493
2500				5433				0.141				141.335
2500				5433				0.141				141.319
2500				5377				0.164				164.85
2500				5377				0.164				164.717
2500				5377				0.164				164.715
2500				5377				0.164				164.721
2500				5377				0.164				164.778
2500				5568				0.133				133.169
2500				5568				0.132				132.993
2500				5568				0.133				133.362
2500				5568				0.133				133.396
2500				5568				0.133				133.233
2500				5568				0.132				132.875
2500				5423				0.118				118.308
2500				5423				0.118				118.836
2500				5423				0.118				118.833
2500				5423				0.118				118.906
2500				5423				0.118				118.704
2500				5423				0.118				118.764
2500				5423				0.119				119.274
2500				5423				0.179				179.624
2500				5423				0.179				179.657
2500				5423				0.179				179.794
2500				5423				0.179				179.189
2500				5423				0.179				179.324
2500				5372				0.142				142.217
2500				5372				0.142				142.338
2500				5372				0.142				142.48
2500				5372				0.142				142.895
2500				5372				0.142				142.104
2500				5446				0.117				117.749
3000				6564				0.18				180.914
3000				6564				0.181				181.21
3000				6564				0.181				181.022
3000				6564				0.18				180.933
3000				6432				0.191				191.059
3000				6432				0.19				190.52
3000				6432				0.19				190.524
3000				6432				0.19				190.574
3000				6631				0.212				212.753
3000				6631				0.212				212.866
3000				6631				0.212				212.823
3000				6631				0.212				212.703
3000				6502				0.209				209.778
3000				6502				0.209				209.465
3000				6502				0.209				209.196
3000				6508				0.252				252.3
3000				6508				0.252				252.5
3000				6508				0.252				252.772
3000				6508				0.252				252.327
3000				6405				0.251				251.631
3000				6405				0.251				251.571
3000				6405				0.251				251.444
3000				6456				0.153				153.229
3000				6456				0.153				153.28
3000				6456				0.152				152.973
3000				6456				0.153				153.366
3000				6456				0.152				152.798
3000				6547				0.251				251.572
3000				6547				0.251				251.909
3000				6547				0.251				251.351
3000				6415				0.193				193.807
3000				6415				0.194				194.382
3000				6415				0.194				194.064
3000				6415				0.193				193.593
3000				6569				0.205				205.883
3000				6569				0.205				205.855
3000				6569				0.206				206.256
3000				6569				0.206				206.574
3000				6544				0.249				249.212
3000				6544				0.248				248.748
3000				6544				0.249				249.065
3000				6469				0.195				195.92
3000				6469				0.195				195.772
3000				6469				0.195				195.934
3000				6469				0.196				196.421
3000				6380				0.185				185.066
3000				6380				0.184				184.772
3000				6380				0.185				185.136
3000				6380				0.185				185.172
3000				6380				0.184				184.68
