Auction Parallel ThreadPool (1 Threads): 
Size				Cost				Total Time in s			Total CPU time in ms
500				1073				0.003				3.248
500				1073				0.003				3.13
500				1073				0.003				3.18
500				1073				0.003				3.354
500				1073				0.003				3.128
500				1073				0.003				3.573
500				1073				0.003				3.446
500				1073				0.003				3.124
500				1073				0.003				3.085
500				1073				0.003				3.279
500				1073				0.002				2.96
500				1073				0.002				2.223
500				1073				0.002				2.934
500				1073				0.003				3
500				1073				0.002				2.982
500				1073				0.003				2.988
500				1073				0.003				2.999
500				1073				0.002				2.982
500				1073				0.002				2.318
500				1073				0.002				2.834
500				1073				0.003				2.993
500				1073				0.003				2.985
500				1073				0.002				2.333
500				1073				0.002				2.833
500				1073				0.003				2.988
500				1073				0.003				2.986
500				1073				0.002				2.296
500				1073				0.002				2.829
500				1073				0.003				2.99
500				1073				0.003				2.988
500				1073				0.002				2.972
500				1073				0.002				2.296
500				1073				0.002				2.841
500				1073				0.003				2.985
500				1073				0.002				2.302
500				1073				0.002				2.83
500				1073				0.003				2.984
500				1073				0.003				3.003
500				1073				0.003				2.998
500				1073				0.002				2.304
500				1073				0.002				2.837
500				1073				0.003				2.984
500				1073				0.002				2.972
500				1073				0.002				2.297
500				1073				0.002				2.838
500				1073				0.002				2.983
500				1073				0.002				2.302
500				1073				0.002				2.826
500				1073				0.003				2.992
500				1073				0.002				2.982
1000				2168				0.012				12.086
1000				2168				0.011				11.856
1000				2168				0.011				11.779
1000				2168				0.011				11.812
1000				2168				0.011				11.803
1000				2121				0.01				10.759
1000				2121				0.011				11.036
1000				2121				0.011				11.226
1000				2121				0.011				11.291
1000				2121				0.011				11.214
1000				2121				0.011				11.271
1000				2121				0.011				11.327
1000				2121				0.01				10.801
1000				2121				0.01				10.59
1000				2121				0.01				10.641
1000				2121				0.01				10.591
1000				2121				0.011				11.124
1000				2121				0.011				11.278
1000				2121				0.011				11.272
1000				2121				0.011				11.269
1000				2121				0.01				10.779
1000				2121				0.011				11.168
1000				2121				0.01				10.724
1000				2121				0.01				10.625
1000				2121				0.011				11.135
1000				2121				0.011				11.265
1000				2121				0.01				10.251
1000				2121				0.011				11.218
1000				2121				0.011				11.303
1000				2121				0.011				11.278
1000				2121				0.012				12.172
1000				2121				0.011				11.121
1000				2121				0.011				11.192
1000				2121				0.011				11.274
1000				2121				0.011				11.427
1000				2121				0.011				11.349
1000				2121				0.011				11.316
1000				2121				0.011				11.261
1000				2121				0.011				11.322
1000				2121				0.011				11.332
1000				2121				0.01				10.745
1000				2121				0.011				11.133
1000				2121				0.01				10.677
1000				2121				0.01				9.855
1000				2121				0.011				11.26
1000				2121				0.01				10.534
1000				2121				0.011				10.989
1000				2121				0.01				10.602
1000				2121				0.011				11.388
1000				2121				0.01				10.749
1500				3234				0.031				30.878
1500				3234				0.032				32.137
1500				3234				0.03				30.766
1500				3234				0.032				32.035
1500				3234				0.03				30.763
1500				3234				0.03				30.584
1500				3234				0.03				30.575
1500				3165				0.026				26.763
1500				3165				0.025				25.599
1500				3165				0.024				23.807
1500				3165				0.025				25.744
1500				3165				0.025				25.622
1500				3165				0.025				25.626
1500				3165				0.025				25.598
1500				3165				0.024				24.6
1500				3165				0.025				25.553
1500				3165				0.025				25.579
1500				3165				0.025				25.577
1500				3165				0.025				25.405
1500				3165				0.025				25.64
1500				3165				0.025				25.635
1500				3165				0.025				25.579
1500				3165				0.028				27.929
1500				3165				0.028				27.895
1500				3165				0.025				25.637
1500				3165				0.027				27.872
1500				3165				0.025				25.631
1500				3165				0.025				25.612
1500				3165				0.027				27.877
1500				3165				0.025				25.59
1500				3165				0.025				25.606
1500				3165				0.025				25.617
1500				3165				0.026				26.81
1500				3165				0.026				26.808
1500				3288				0.021				21.828
1500				3288				0.022				21.91
1500				3288				0.023				23.19
1500				3288				0.021				21.164
1500				3288				0.02				20.785
1500				3288				0.024				24.361
1500				3288				0.024				24.19
1500				3288				0.021				21.231
1500				3288				0.021				21.365
1500				3288				0.02				19.965
1500				3288				0.023				23.274
1500				3288				0.022				21.904
1500				3288				0.022				21.865
1500				3288				0.024				24.232
1500				3288				0.021				21.225
1500				3288				0.021				21.5
2000				4347				0.041				40.875
2000				4347				0.042				41.993
