Auction Parallel OpenMP (16 Threads): 
Size				Cost				Total Time in s			Total CPU time in ms
500				1071				0.003				42.352
500				1071				0.002				47.315
500				1071				0.002				32.167
500				1071				0.002				47.032
500				1071				0.002				32.079
500				1071				0.002				47.34
500				1071				0.002				32.232
500				1071				0.002				32.349
500				1071				0.002				32.165
500				1071				0.002				32.198
500				1071				0.002				47.181
500				1071				0.002				32.253
500				1071				0.002				32.377
500				1071				0.002				47.246
500				1071				0.002				32.359
500				1071				0.002				32.374
500				1071				0.002				32.046
500				1071				0.002				32.111
500				1071				0.002				32.147
500				1071				0.002				32.123
500				1071				0.002				32.215
500				1071				0.002				32.087
500				1071				0.002				32.226
500				1071				0.001				31.974
500				1071				0.002				32.164
500				1071				0.002				32.194
500				1071				0.002				32.288
500				1071				0.002				32.347
500				1071				0.002				32.158
500				1071				0.002				32.314
500				1071				0.002				32.53
500				1071				0.002				32.179
500				1071				0.002				32.161
500				1071				0.002				32.322
500				1071				0.002				32.086
500				1071				0.002				32.213
500				1071				0.002				47.142
500				1071				0.002				32.527
500				1071				0.002				32.021
500				1071				0.002				32.296
500				1071				0.002				32.217
500				1071				0.002				47.257
500				1071				0.002				32.313
500				1071				0.002				32.363
500				1071				0.002				47.383
500				1071				0.002				32.155
500				1071				0.002				32.287
500				1071				0.002				47.244
500				1071				0.002				32.094
500				1071				0.002				47.167
1000				2227				0.007				101.332
1000				2227				0.007				99.785
1000				2227				0.005				85.278
1000				2227				0.006				106.726
1000				2227				0.007				111.051
1000				2227				0.005				82.163
1000				2227				0.006				88.134
1000				2227				0.007				103.458
1000				2227				0.007				104.262
1000				2227				0.005				89.915
1000				2227				0.007				111.513
1000				2227				0.006				95.732
1000				2227				0.005				83.505
1000				2227				0.006				86.866
1000				2227				0.005				83.241
1000				2227				0.004				74.191
1000				2227				0.005				79.563
1000				2227				0.006				103.78
1000				2227				0.006				96.103
1000				2227				0.006				103.901
1000				2227				0.006				96.622
1000				2227				0.006				88.375
1000				2227				0.012				188.594
1000				2227				0.007				111.148
1000				2227				0.006				96.546
1000				2227				0.005				82.2
1000				2227				0.006				101.855
1000				2227				0.005				93.159
1000				2227				0.006				95.29
1000				2227				0.007				111.368
1000				2227				0.006				95.854
1000				2227				0.006				105.654
1000				2097				0.007				109.401
1000				2097				0.006				104.399
1000				2097				0.006				95.198
1000				2097				0.006				96.071
1000				2097				0.006				92.717
1000				2097				0.007				107.573
1000				2097				0.005				90.866
1000				2097				0.006				94.925
1000				2097				0.006				90.408
1000				2097				0.006				86.129
1000				2097				0.005				83.458
1000				2097				0.006				85.773
1000				2097				0.006				97.93
1000				2097				0.005				81.997
1000				2097				0.006				90.955
1000				2097				0.006				101.447
1000				2097				0.006				91.958
1000				2097				0.006				91.662
1500				3238				0.012				195.104
1500				3238				0.013				221.454
1500				3238				0.012				191.75
1500				3238				0.011				174.456
1500				3238				0.01				165.233
1500				3238				0.013				194.033
1500				3238				0.011				164.089
1500				3238				0.012				180.332
1500				3238				0.01				163.117
1500				3238				0.011				169.875
1500				3238				0.012				197.125
1500				3238				0.014				221.549
1500				3238				0.015				243.778
1500				3238				0.011				172.501
1500				3238				0.013				205.107
1500				3238				0.011				171.93
1500				3238				0.01				164.233
1500				3238				0.012				187.443
1500				3238				0.012				199.106
1500				3238				0.012				193.968
1500				3238				0.013				219.036
1500				3238				0.012				189.474
1500				3238				0.011				176.375
1500				3238				0.013				206.354
1500				3238				0.011				172.301
1500				3238				0.012				183.461
1500				3238				0.011				168.554
1500				3238				0.012				182.549
1500				3238				0.009				144.623
1500				3238				0.015				232.411
1500				3238				0.012				200.725
1500				3351				0.009				143.447
1500				3351				0.01				152.883
1500				3351				0.009				148.319
1500				3351				0.009				154.281
1500				3351				0.009				145.444
1500				3351				0.012				184.836
1500				3351				0.008				133.773
1500				3351				0.011				173.158
1500				3351				0.01				156.125
1500				3351				0.009				137.236
1500				3351				0.012				199.1
1500				3351				0.009				143.095
1500				3351				0.009				150.186
1500				3351				0.009				146.965
1500				3351				0.01				149.7
1500				3351				0.011				163.05
1500				3351				0.008				133.091
1500				3351				0.01				168.544
1500				3351				0.009				139.61
2000				4339				0.016				255.504
2000				4339				0.014				213.326
2000				4339				0.017				278.907
2000				4339				0.012				200.278
2000				4339				0.018				285.296
2000				4339				0.016				249.539
2000				4339				0.018				289.336
2000				4339				0.013				207.814
2000				4339				0.015				232.888
2000				4339				0.017				280.559
2000				4339				0.015				235.639
2000				4339				0.014				228.263
2000				4339				0.017				262.976
2000				4339				0.019				291.739
2000				4339				0.015				243.495
2000				4359				0.019				308.692
2000				4359				0.018				299.17
