Hungarian Serial : 
Size				Cost				Total Time in s			Total CPU time in ms
500				1126				0.006				6.943
500				1126				0.004				4.605
500				1126				0.004				4.662
500				1126				0.004				4.629
500				1126				0.004				4.655
500				1126				0.004				4.626
500				1126				0.004				4.675
500				1126				0.004				4.645
500				1126				0.004				4.635
500				1081				0.004				4.313
500				1081				0.004				4.317
500				1081				0.004				4.297
500				1081				0.004				4.31
500				1081				0.004				4.341
500				1081				0.004				4.282
500				1081				0.004				4.295
500				1081				0.004				4.309
500				1081				0.005				5.294
500				1081				0.004				4.336
500				1081				0.004				4.294
500				1081				0.004				4.358
500				1081				0.004				4.312
500				1081				0.004				4.298
500				1081				0.004				4.311
500				1081				0.004				4.306
500				1081				0.004				4.304
500				1081				0.004				4.314
500				1081				0.004				4.309
500				1081				0.004				4.314
500				1081				0.004				4.304
500				1081				0.004				4.307
500				1081				0.004				4.302
500				1081				0.004				4.31
500				1081				0.004				4.304
500				1081				0.004				4.306
500				1081				0.004				4.306
500				1081				0.004				4.308
500				1081				0.004				4.303
500				1081				0.004				4.302
500				1081				0.004				4.35
500				1081				0.004				4.306
500				1081				0.004				4.367
500				1081				0.004				4.309
500				1081				0.004				4.304
500				1081				0.004				4.308
500				1081				0.004				4.303
500				1081				0.004				4.311
500				1081				0.004				4.31
500				1081				0.004				4.319
500				1081				0.004				4.303
1000				2194				0.02				20.826
1000				2194				0.02				20.732
1000				2194				0.02				20.738
1000				2194				0.02				20.737
1000				2194				0.02				20.746
1000				2194				0.02				20.715
1000				2194				0.02				20.709
1000				2194				0.02				20.729
1000				2194				0.02				20.775
1000				2194				0.02				20.735
1000				2194				0.02				20.748
1000				2194				0.02				20.671
1000				2194				0.02				20.602
1000				2194				0.02				20.622
1000				2194				0.02				20.657
1000				2194				0.02				20.592
1000				2194				0.02				20.686
1000				2194				0.02				20.593
1000				2194				0.02				20.597
1000				2194				0.02				20.632
1000				2194				0.02				20.636
1000				2194				0.02				20.61
1000				2194				0.02				20.659
1000				2194				0.02				20.614
1000				2194				0.02				20.638
1000				2194				0.02				20.582
1000				2194				0.02				20.635
1000				2194				0.02				20.601
1000				2194				0.02				20.613
1000				2194				0.02				20.68
1000				2212				0.021				21.289
1000				2212				0.021				21.394
1000				2212				0.021				21.083
1000				2212				0.021				21.249
1000				2212				0.021				21.157
1000				2212				0.021				21.404
1000				2212				0.021				21.201
1000				2212				0.026				26.41
1000				2212				0.021				21.273
1000				2212				0.021				21.412
1000				2212				0.021				21.111
1000				2212				0.021				21.248
1000				2212				0.021				21.2
1000				2212				0.021				21.484
1000				2212				0.021				21.217
1000				2212				0.026				26.492
1000				2212				0.021				21.258
1000				2212				0.021				21.36
1000				2212				0.021				21.102
1000				2212				0.021				21.222
1500				3301				0.042				42.226
1500				3301				0.041				41.571
1500				3301				0.041				41.603
1500				3301				0.041				41.542
1500				3301				0.041				41.582
1500				3301				0.041				41.549
1500				3301				0.041				41.6
1500				3301				0.041				41.473
1500				3301				0.041				41.551
1500				3345				0.047				47.716
1500				3345				0.047				47.736
1500				3345				0.047				47.726
1500				3345				0.047				47.708
1500				3345				0.047				47.887
1500				3345				0.047				47.738
1500				3345				0.047				47.985
1500				3345				0.047				47.81
1500				3345				0.047				47.912
1500				3345				0.047				47.761
1500				3345				0.048				48.09
1500				3345				0.047				47.835
1500				3345				0.047				47.903
1500				3345				0.047				47.816
1500				3345				0.047				47.867
1500				3345				0.047				47.839
1500				3265				0.047				47.574
1500				3265				0.047				47.338
1500				3265				0.047				47.421
1500				3265				0.047				47.357
1500				3265				0.047				47.379
1500				3265				0.047				47.322
1500				3265				0.047				47.635
1500				3265				0.047				47.415
1500				3265				0.047				47.454
1500				3265				0.047				47.422
1500				3265				0.047				47.454
1500				3265				0.047				47.443
1500				3265				0.047				47.583
1500				3265				0.047				47.437
1500				3265				0.047				47.514
1500				3265				0.047				47.431
1500				3265				0.047				47.435
1500				3316				0.046				46.979
1500				3316				0.047				47.125
1500				3316				0.046				46.993
1500				3316				0.047				47.048
1500				3316				0.047				47.008
1500				3316				0.047				47.092
1500				3316				0.046				46.978
1500				3316				0.047				47.128
2000				4376				0.094				94.429
2000				4376				0.093				93.004
2000				4376				0.092				92.828
2000				4376				0.092				92.478
2000				4376				0.093				93.153
2000				4278				0.091				91.123
2000				4278				0.092				92.463
2000				4278				0.092				92.029
2000				4278				0.092				92.237
2000				4278				0.091				91.663
2000				4278				0.091				91.944
2000				4278				0.091				91.329
2000				4278				0.091				91.823
2000				4278				0.091				91.604
2000				4290				0.103				103.638
2000				4290				0.104				104.24
2000				4290				0.103				103.871
2000				4290				0.104				104.009
2000				4290				0.103				103.173
2000				4290				0.103				103.944
2000				4290				0.103				103.842
2000				4290				0.104				104.411
2000				4383				0.094				94.654
2000				4383				0.094				94.881
2000				4383				0.094				94.91
2000				4383				0.095				95.109
2000				4383				0.094				94.574
2000				4383				0.094				94.755
2000				4383				0.095				94.988
2000				4383				0.094				94.929
2000				4326				0.098				98.328
2000				4326				0.099				99.254
2000				4326				0.099				99.024
2000				4326				0.098				98.672
2000				4326				0.098				98.183
2000				4326				0.098				98.244
2000				4326				0.098				98.221
2000				4326				0.097				97.794
2000				4348				0.096				96.444
2000				4348				0.095				95.759
2000				4348				0.096				96.286
2000				4348				0.096				96.375
2000				4348				0.095				95.963
2000				4348				0.095				95.865
2000				4348				0.096				96.226
2000				4348				0.096				96.261
2000				4348				0.096				96.26
2000				4340				0.097				97.074
2000				4340				0.097				97.213
2000				4340				0.097				97.415
2500				5478				0.208				208.662
2500				5478				0.209				209.52
2500				5478				0.208				208.95
2500				5462				0.186				186.249
2500				5462				0.186				186.403
2500				5462				0.185				185.745
2500				5462				0.188				188.046
2500				5499				0.173				173.228
2500				5499				0.174				173.992
2500				5499				0.173				173.279
2500				5499				0.173				173.46
2500				5499				0.173				173.386
2500				5249				0.201				201.163
2500				5249				0.201				201.303
2500				5249				0.2				200.903
2500				5249				0.201				201.498
2500				5395				0.194				194.876
2500				5395				0.195				195.741
2500				5395				0.195				195.778
2500				5395				0.195				195.516
2500				5395				0.194				194.958
2500				5478				0.209				209.772
2500				5478				0.209				209.143
2500				5478				0.21				210.612
2500				5478				0.209				209.74
2500				5540				0.19				190.929
2500				5540				0.189				189.499
2500				5540				0.19				190.758
2500				5540				0.191				191.969
2500				5400				0.203				203.7
2500				5400				0.205				205.189
2500				5400				0.204				204.333
2500				5400				0.204				204.484
2500				5601				0.204				204.216
2500				5601				0.202				202.694
2500				5601				0.203				203.002
2500				5601				0.203				203.318
2500				5425				0.196				196.756
2500				5425				0.198				198.14
2500				5425				0.198				198.471
2500				5425				0.197				197.484
2500				5425				0.197				197.289
2500				5522				0.193				193.876
2500				5522				0.194				194.705
2500				5522				0.194				194.187
2500				5522				0.195				195.605
2500				5363				0.192				192.88
2500				5363				0.193				193.768
2500				5363				0.193				193.463
2500				5363				0.193				193.237
3000				6588				0.323				323.738
3000				6588				0.323				323.353
3000				6588				0.325				325.021
3000				6437				0.337				337.913
3000				6437				0.335				335.899
3000				6437				0.336				336.183
3000				6507				0.352				352.255
3000				6507				0.352				352.414
3000				6438				0.375				375.585
3000				6438				0.378				378.828
3000				6438				0.375				375.696
3000				6698				0.343				343.918
3000				6698				0.344				344.48
3000				6454				0.336				336.828
3000				6454				0.334				334.412
3000				6454				0.337				337.234
3000				6525				0.364				364.108
3000				6525				0.362				362.616
3000				6451				0.347				347.388
3000				6451				0.344				344.191
3000				6451				0.345				345.886
3000				6457				0.35				350.83
3000				6457				0.35				349.983
3000				6527				0.337				337.309
3000				6527				0.338				338.818
3000				6527				0.338				338.027
3000				6501				0.3				300.097
3000				6501				0.298				298.42
3000				6486				0.363				363.02
3000				6486				0.361				360.974
3000				6486				0.361				361.905
3000				6416				0.362				362.039
3000				6416				0.361				361.299
3000				6404				0.364				364.701
3000				6404				0.365				365.032
3000				6404				0.363				363.018
3000				6500				0.335				335.848
3000				6500				0.336				336.255
3000				6431				0.315				315.274
3000				6431				0.314				314.434
3000				6431				0.313				313.607
3000				6608				0.367				367.1
3000				6608				0.368				368.679
3000				6561				0.361				361.398
3000				6561				0.359				359.879
3000				6561				0.362				362.396
3000				6530				0.34				340.41
3000				6530				0.34				340.539
3000				6503				0.365				365.568
3000				6503				0.366				366.949
