Hungarian Parallel OpenMP (4 Threads): 
Size				Cost				Total Time in s			Total CPU time in ms
500				1172				0.002				9.464
500				1173				0.002				11.813
500				1171				0.002				11.767
500				1171				0.002				8.354
500				1171				0.002				8.461
500				1171				0.002				11.458
500				1171				0.002				8.389
500				1171				0.002				11.387
500				1171				0.002				11.488
500				1173				0.002				8.383
500				1171				0.002				11.539
500				1171				0.002				8.347
500				1171				0.002				8.394
500				1171				0.002				8.199
500				1171				0.002				8.552
500				1171				0.002				8.212
500				1172				0.002				8.267
500				1172				0.002				11.388
500				1171				0.002				8.556
500				1171				0.002				11.237
500				1171				0.002				8.4
500				1171				0.002				11.734
500				1171				0.002				11.37
500				1171				0.002				8.308
500				1173				0.002				8.433
500				1171				0.002				8.3
500				1172				0.002				8.676
500				1171				0.002				8.473
500				1171				0.002				11.522
500				1171				0.002				11.689
500				1172				0.002				8.48
500				1171				0.002				11.309
500				1172				0.002				8.46
500				1171				0.002				8.156
500				1171				0.002				11.526
500				1172				0.002				8.253
500				1172				0.002				11.404
500				1171				0.002				11.905
500				1172				0.002				8.408
500				1171				0.002				11.353
500				1172				0.002				8.222
500				1171				0.002				11.202
500				1172				0.002				11.69
500				1172				0.002				8.28
500				1173				0.002				11.312
500				1171				0.002				8.297
500				1173				0.002				11.475
500				1171				0.002				8.471
500				1172				0.002				8.271
500				1171				0.002				11.579
1000				2112				0.007				23.124
1000				2112				0.008				27.723
1000				2112				0.007				26.188
1000				2112				0.008				28.463
1000				2112				0.007				25.915
1000				2112				0.008				27.13
1000				2113				0.007				24.925
1000				2112				0.008				26.306
1000				2112				0.007				24.059
1000				2112				0.007				24.461
1000				2113				0.008				27.904
1000				2112				0.007				26.164
1000				2113				0.007				26.006
1000				2112				0.007				26.741
1000				2198				0.007				26.989
1000				2197				0.007				26.562
1000				2197				0.008				27.571
1000				2197				0.007				25.226
1000				2198				0.008				28.76
1000				2197				0.007				24.652
1000				2198				0.007				27.565
1000				2197				0.007				25.765
1000				2197				0.007				24.271
1000				2197				0.008				27.839
1000				2197				0.007				24.291
1000				2198				0.007				23.298
1000				2197				0.007				27.15
1000				2198				0.007				25.337
1000				2198				0.007				25.901
1000				2197				0.007				27.219
1000				2197				0.007				26.456
1000				2197				0.008				28.268
1000				2197				0.007				25.49
1000				2197				0.007				27.194
1000				2197				0.007				25.585
1000				2198				0.008				26.221
1000				2197				0.007				26.502
1000				2197				0.007				25.405
1000				2197				0.007				24.644
1000				2197				0.007				26.73
1000				2197				0.007				25.209
1000				2197				0.007				25.004
1000				2197				0.007				24.957
1000				2197				0.006				21.395
1000				2198				0.007				27.993
1000				2197				0.007				26.046
1000				2198				0.007				27.878
1000				2198				0.007				26.621
1000				2197				0.007				24.707
1000				2197				0.007				26.856
1500				3235				0.013				45.4
1500				3235				0.013				45.594
1500				3235				0.015				53.234
1500				3235				0.014				49.823
1500				3235				0.015				53.284
1500				3235				0.015				50.185
1500				3236				0.014				50.531
1500				3235				0.014				47.171
1500				3235				0.013				47.215
1500				3235				0.014				49.498
1500				3235				0.014				47.946
1500				3235				0.013				45.222
1500				3235				0.014				50.684
1500				3235				0.014				50.567
1500				3235				0.013				45.167
1500				3236				0.014				48.859
1500				3235				0.015				50.451
1500				3236				0.014				47.573
1500				3236				0.015				53.008
1500				3235				0.015				53.813
1500				3235				0.013				42.691
1500				3190				0.014				47.53
1500				3190				0.013				46.654
1500				3190				0.014				49.7
1500				3191				0.014				49.202
1500				3190				0.015				54.192
1500				3190				0.014				51.753
1500				3190				0.016				54.503
1500				3190				0.014				51.364
1500				3190				0.015				50.919
1500				3191				0.014				48.08
1500				3190				0.014				49.235
1500				3190				0.015				53.338
1500				3191				0.014				49.903
1500				3190				0.014				48.81
1500				3191				0.014				48.993
1500				3190				0.014				49.623
1500				3191				0.013				44.977
1500				3190				0.014				48.391
1500				3190				0.014				49.971
1500				3190				0.014				47.906
1500				3190				0.013				44.306
1500				3190				0.014				47.547
1500				3190				0.013				45.245
1500				3190				0.014				50.701
1500				3191				0.014				49.81
1500				3190				0.014				49.303
1500				3190				0.013				47.048
1500				3190				0.014				50.236
1500				3190				0.013				44.872
2000				4236				0.024				78.83
2000				4236				0.025				84.87
2000				4236				0.023				76.844
2000				4236				0.025				84.573
2000				4236				0.024				77.488
2000				4236				0.025				85.694
2000				4388				0.026				89.803
2000				4389				0.026				89.27
2000				4388				0.028				94.641
2000				4388				0.028				95.089
2000				4388				0.028				95.364
2000				4388				0.028				99.12
2000				4388				0.029				100.356
2000				4388				0.026				88.715
2000				4388				0.027				92.915
2000				4388				0.025				85.193
2000				4388				0.028				98.853
2000				4388				0.028				97.423
2000				4388				0.029				99.073
2000				4388				0.028				94.68
2000				4388				0.026				88.116
2000				4388				0.027				88.945
2000				4388				0.027				90.706
2000				4388				0.029				101.866
2000				4388				0.03				102.521
2000				4388				0.029				101.759
2000				4417				0.026				88.755
2000				4417				0.028				95.407
2000				4417				0.025				83.838
2000				4417				0.026				89.514
2000				4417				0.027				89.936
2000				4417				0.027				90.883
2000				4417				0.025				83.596
2000				4417				0.025				84.881
2000				4417				0.027				95.369
2000				4417				0.027				93.482
2000				4417				0.027				93.55
2000				4417				0.026				88.261
2000				4417				0.027				91.374
2000				4417				0.026				86.877
2000				4417				0.026				90.374
2000				4417				0.028				95.863
2000				4417				0.027				92.232
2000				4417				0.028				96.45
2000				4417				0.027				93.263
2000				4417				0.028				95.665
2000				4277				0.026				88.725
2000				4276				0.026				86.135
2000				4276				0.027				95.058
2000				4276				0.026				88.79
2500				5338				0.05				175.19
2500				5338				0.047				161.08
2500				5338				0.049				171.901
2500				5338				0.052				180.1
2500				5338				0.05				176.782
2500				5339				0.049				170.935
2500				5338				0.05				174.99
2500				5338				0.05				173.888
2500				5338				0.05				175.512
2500				5338				0.048				168.875
2500				5345				0.051				175.599
2500				5344				0.05				175.732
2500				5344				0.05				172.262
2500				5344				0.048				168.763
2500				5344				0.048				167.258
2500				5344				0.048				167.838
2500				5344				0.052				183.024
2500				5344				0.051				178.966
2500				5345				0.05				173.726
2500				5345				0.049				170.513
2500				5344				0.05				174.943
2500				5344				0.048				167.537
2500				5486				0.05				175.394
2500				5486				0.048				164.726
2500				5486				0.048				168.311
2500				5486				0.051				179.185
2500				5486				0.05				176.474
2500				5487				0.051				179.392
2500				5486				0.049				168.858
2500				5486				0.049				168.721
2500				5486				0.052				180.741
2500				5487				0.05				173.635
2500				5486				0.053				186.289
2500				5456				0.053				186.15
2500				5456				0.053				187.533
2500				5456				0.05				174.275
2500				5456				0.052				182.002
2500				5456				0.054				190.624
2500				5457				0.053				185.479
2500				5456				0.055				193.985
2500				5456				0.053				186.915
2500				5457				0.051				178.868
2500				5457				0.051				178.331
2500				5456				0.05				175.685
2500				5456				0.05				173.537
2500				5456				0.046				158.194
2500				5456				0.05				174.331
2500				5456				0.052				180.533
2500				5456				0.051				179.386
2500				5456				0.053				183.992
3000				6541				0.093				324.762
3000				6541				0.093				327.839
3000				6541				0.092				321.856
3000				6541				0.088				305.673
3000				6585				0.097				340.868
3000				6585				0.098				346.081
3000				6585				0.102				362.646
3000				6585				0.1				351.011
3000				6585				0.099				348.134
3000				6585				0.102				363.147
3000				6585				0.102				361.784
3000				6509				0.09				314.887
3000				6509				0.093				326.915
3000				6509				0.086				297.852
3000				6509				0.092				322.388
3000				6509				0.095				335.07
3000				6509				0.09				315.048
3000				6510				0.086				298.098
3000				6616				0.099				349.693
3000				6616				0.096				338.076
3000				6616				0.099				348.117
3000				6616				0.102				361.151
3000				6616				0.103				363.842
3000				6616				0.104				372.301
3000				6520				0.093				326.505
3000				6520				0.099				349.536
3000				6520				0.096				335.716
3000				6520				0.094				331.411
3000				6520				0.094				330.093
3000				6520				0.099				349.177
3000				6520				0.1				350.88
3000				6461				0.095				331.852
3000				6461				0.095				336.22
3000				6461				0.089				310.906
3000				6461				0.094				329.286
3000				6461				0.092				321.082
3000				6461				0.093				328.53
3000				6461				0.093				326.849
3000				6673				0.091				314.561
3000				6673				0.086				299.269
3000				6673				0.092				320.925
3000				6673				0.088				303.836
3000				6673				0.091				315.295
3000				6673				0.092				322.929
3000				6673				0.092				322.468
3000				6532				0.096				337.828
3000				6532				0.093				325.445
3000				6532				0.094				330.652
