Hungarian Parallel ThreadPool (4 Threads): 
Size				Cost				Total Time in s			Total CPU time in ms
500				1096				0.004				13.13
500				1099				0.004				11.749
500				1097				0.005				14.833
500				1095				0.004				11.75
500				1096				0.004				13.408
500				1095				0.003				10.362
500				1095				0.004				11.592
500				1097				0.004				11.789
500				1096				0.005				15.228
500				1096				0.005				14.215
500				1095				0.004				11.446
500				1094				0.004				10.947
500				1095				0.004				13.011
500				1095				0.004				13.664
500				1095				0.005				14.675
500				1094				0.004				11.464
500				1094				0.003				10.539
500				1094				0.004				13.211
500				1095				0.005				14.035
500				1095				0.004				11.637
500				1094				0.004				12.639
500				1094				0.004				12.374
500				1095				0.003				9.824
500				1096				0.003				10.53
500				1095				0.004				13.013
500				1095				0.004				13.646
500				1094				0.004				13.891
500				1094				0.004				11.994
500				1096				0.004				11.298
500				1095				0.005				13.616
500				1094				0.004				12.289
500				1096				0.004				12.452
500				1095				0.003				9.79
500				1097				0.004				12.381
500				1094				0.004				11.548
500				1095				0.004				13.059
500				1095				0.004				13.922
500				1096				0.004				13.198
500				1094				0.003				10.514
500				1095				0.005				14.454
500				1096				0.003				10.768
500				1095				0.004				11.282
500				1095				0.003				9.924
500				1095				0.004				12.4
500				1096				0.004				11.115
500				1095				0.005				14.361
500				1095				0.003				10.801
500				1095				0.005				13.592
500				1095				0.005				15.256
500				1094				0.004				11.899
1000				2133				0.009				27.172
1000				2130				0.009				27.476
1000				2131				0.009				26.488
1000				2132				0.01				28.056
1000				2131				0.009				25.715
1000				2131				0.009				26.488
1000				2130				0.009				27.482
1000				2132				0.008				24.884
1000				2131				0.009				26.594
1000				2131				0.009				26.166
1000				2132				0.009				27.021
1000				2130				0.009				26.29
1000				2183				0.009				26.81
1000				2183				0.009				25.892
1000				2183				0.009				27.267
1000				2183				0.008				23.973
1000				2183				0.008				23.076
1000				2183				0.008				24.52
1000				2183				0.008				25.218
1000				2183				0.008				23.864
1000				2183				0.007				22.591
1000				2183				0.009				27.301
1000				2183				0.008				23.708
1000				2183				0.008				24.316
1000				2183				0.008				24.366
1000				2183				0.008				24.927
1000				2183				0.009				26.337
1000				2183				0.008				24.554
1000				2183				0.009				25.133
1000				2183				0.009				25.691
1000				2183				0.009				26.857
1000				2183				0.009				25.642
1000				2183				0.008				23.532
1000				2183				0.008				23.912
1000				2183				0.008				24.757
1000				2183				0.008				25.85
1000				2183				0.008				25.635
1000				2183				0.008				24.843
1000				2183				0.008				25.439
1000				2183				0.008				24.184
1000				2183				0.009				26.963
1000				2183				0.009				25.716
1000				2183				0.009				25.056
1000				2183				0.008				24.371
1000				2184				0.008				24.667
1000				2183				0.009				27.147
1000				2183				0.008				24.147
1000				2183				0.009				26.875
1000				2184				0.008				24.447
1000				2183				0.009				26.043
1500				3261				0.015				47.684
1500				3261				0.013				40.911
1500				3261				0.015				48.506
1500				3261				0.015				47.715
1500				3261				0.015				47.996
1500				3261				0.015				46.425
1500				3261				0.015				48.167
