Auction Serial: 
Size				Cost				Total Time in s			Total CPU time in ms
5000				10830				0.834				834.089
5000				10743				1.066				1066.65
5000				10817				1.041				1041.55
5000				10565				0.907				906.908
5000				10848				0.866				866.501
5000				10602				0.729				729.754
5000				10941				0.74				740.074
5000				10941				0.74				740.25
5000				10816				0.916				916.667
5000				10736				0.748				748.171
5000				10835				0.85				850.08
5000				10785				0.964				964.299
5000				10820				0.704				704.021
5000				10827				0.772				772.439
5000				10959				0.778				778.08
5000				10801				0.857				857.704
5000				10853				0.967				967.798
5000				10805				0.807				807.04
5000				10811				0.765				765.321
5000				10714				0.885				885.276
5000				10663				0.801				801.136
5000				10663				0.801				801.098
5000				10967				1.081				1080.87
5000				10781				0.81				810.61
5000				10893				0.87				870.672
5000				10893				0.871				871.861
5000				10942				0.845				845.47
5000				10788				0.85				850.702
5000				10994				0.833				832.998
5000				10803				1.078				1078.58
5000				10770				0.982				982.368
5000				10903				0.645				645.606
5000				10903				0.646				646.531
5000				10810				0.644				644.288
5000				10999				0.913				913.193
5000				10934				0.784				784.229
5000				10792				0.759				759.82
5000				10907				0.839				839.075
5000				10785				0.965				965.74
5000				10927				0.753				753.371
5000				10906				0.971				970.925
5000				10732				0.624				624.221
5000				10732				0.624				624.038
5000				10697				0.937				937.666
5000				10847				0.979				979.335
5000				10906				0.978				977.902
5000				10729				0.948				948.559
5000				10856				0.869				869.667
5000				10760				0.879				879.744
5000				10795				0.808				807.957
7071				15355				1.526				1526.13
7071				15519				1.627				1627.72
7071				15276				1.395				1395.51
7071				15200				1.659				1659.34
7071				15209				1.67				1669.99
7071				15516				2.122				2122.45
7071				15371				1.465				1465.22
7071				15406				1.584				1584.38
7071				15319				1.615				1615.13
7071				15276				2.107				2106.84
7071				15520				1.642				1641.99
7071				15458				1.892				1892.39
7071				15417				1.867				1866.85
7071				15440				1.884				1884.28
7071				15241				1.757				1757.69
7071				15122				1.437				1437.73
7071				15305				1.764				1764.2
7071				15360				1.637				1637.75
7071				15187				1.894				1894.63
7071				15285				1.557				1556.91
7071				15285				1.624				1623.86
7071				15294				1.553				1553.15
7071				15228				1.561				1561.37
7071				15391				2.22				2220.28
7071				15311				1.732				1732.52
7071				15168				1.514				1513.86
7071				15312				1.999				1999.48
7071				15407				1.82				1820.45
7071				15368				2.141				2140.77
7071				15198				1.538				1538.37
7071				15375				1.823				1823.49
7071				15321				1.755				1754.84
7071				15232				1.621				1621.41
7071				15295				1.558				1558.02
7071				15281				1.766				1766.54
7071				15398				1.63				1630.34
7071				15146				1.627				1627.74
7071				15474				1.893				1892.81
7071				15381				2.001				2001.15
7071				15113				1.701				1701.79
7071				15323				1.756				1756.47
7071				15246				1.89				1890
7071				15524				1.599				1599.28
7071				15442				1.71				1710.55
7071				15186				1.733				1733.38
7071				15176				1.656				1656.69
7071				15282				1.751				1750.83
7071				15413				1.397				1397.12
7071				15281				1.381				1380.93
7071				15228				1.581				1581.04
10000				21610				2.83				2830.46
10000				21399				3.696				3695.65
10000				21758				3.87				3870.33
10000				21693				3.336				3335.83
10000				21823				3.815				3814.59
10000				21607				3.285				3284.72
10000				21498				3.425				3424.97
10000				21863				4.292				4291.86
10000				21956				4.042				4041.79
10000				21457				3.64				3640.03
10000				21535				2.876				2876.06
10000				21606				3.442				3442.16
10000				21715				3.106				3105.96
10000				21591				3.389				3389.51
10000				21468				3.667				3667.44
10000				21692				3.435				3435.19
10000				21826				3.315				3314.95
10000				21661				3.835				3834.79
10000				21618				4.175				4175.15
10000				21569				4.145				4144.82
10000				21603				3.241				3240.68
10000				21581				3.487				3487.18
10000				21736				3.318				3318.23
10000				21692				4.121				4120.77
10000				21451				3.478				3478.54
10000				21387				3.609				3609.53
10000				21756				2.952				2952.06
10000				21509				2.883				2882.81
10000				21775				3.641				3640.66
10000				21763				3.701				3701.5
10000				21621				2.922				2921.98
10000				21813				3.151				3150.6
10000				21579				3.674				3674.07
10000				21757				3.84				3839.72
10000				21767				3.642				3642.14
10000				21819				3.256				3256.48
10000				21701				2.629				2629.19
10000				21594				3.337				3337.16
10000				21603				3.473				3472.96
10000				21636				3.157				3157.14
10000				21815				3.454				3454.46
10000				21663				2.947				2947.42
10000				21652				3.594				3594.32
10000				21476				3.125				3125.53
10000				21757				3.83				3829.72
10000				21712				3.653				3652.67
10000				21544				4.046				4046.11
10000				21600				3.743				3742.79
10000				21765				3.379				3379.34
10000				21460				3.271				3271.18
14142				30559				7.011				7010.2
14142				30613				7.665				7664.3
14142				30488				9.636				9635.11
14142				30453				7.107				7106.69
14142				30786				6.931				6930.72
14142				30735				7.032				7031.68
14142				30748				6.346				6345.68
14142				30690				7.062				7061.69
14142				30561				7.643				7642.42
14142				30789				6.304				6303.33
14142				30524				6.328				6327.51
14142				30942				7.365				7364.8
14142				30504				7.37				7369.74
14142				30737				8.092				8091.3
14142				30572				8.911				8910.36
14142				30553				6.356				6355.75
14142				30740				6.396				6395.57
14142				30673				6.496				6495.78
14142				30571				7.414				7413.25
14142				30593				5.775				5774.94
14142				30827				7.075				7074.59
14142				30650				6.441				6441.16
14142				30596				7.565				7564.29
14142				30859				6.652				6651.57
14142				30837				7.409				7408.96
14142				30695				8.728				8727.12
14142				30721				7.209				7208.47
14142				30911				9.24				9239.44
14142				30783				5.998				5997.82
14142				30924				5.867				5866.93
14142				30694				7.557				7556.99
14142				30821				7.126				7125.37
14142				30178				7.22				7220
14142				30789				6.965				6964.4
14142				30494				6.56				6559.26
14142				30869				6.759				6759.14
14142				30631				7.036				7035.48
14142				30338				7.754				7753.68
14142				30899				8.77				8769.04
14142				30901				6.97				6969.95
14142				30660				7.705				7704.87
14142				30653				7.895				7894.21
14142				30489				6.585				6584.7
14142				30423				8.148				8147.66
14142				30623				7.69				7689.42
14142				30758				7.726				7725.18
14142				30720				6.464				6463.55
14142				30620				8.313				8312.44
14142				30639				8.628				8627.05
14142				30786				6.773				6772.07
20000				43499				16.875				16873.8
20000				43205				13.637				13635.5
20000				43344				18.106				18104.8
20000				43385				15.159				15157.7
20000				43480				15.773				15771.8
20000				43280				13.606				13605.1
20000				43330				16.026				16024.2
20000				43438				18.32				18318.3
20000				43562				13.705				13703.9
20000				43469				18.779				18777
20000				43196				16.762				16760.9
20000				43418				16.463				16461.3
20000				43242				18.738				18736.6
20000				43196				16.994				16992.5
20000				43647				16.054				16052.3
20000				43496				15.954				15952.3
20000				43384				17.554				17552.4
20000				43044				17.484				17482.2
20000				43478				16.901				16899.6
20000				43517				15.922				15920.8
20000				43521				18.519				18517.7
20000				43484				18.465				18463.2
20000				43458				15.543				15541.2
20000				43322				15.69				15689.1
20000				43418				15.887				15885.3
20000				43439				17.735				17733.8
20000				42966				15.638				15636.8
20000				43122				17.937				17935.7
20000				43636				17.01				17008.3
20000				43174				22.157				22155
20000				43235				14.022				14021
20000				43203				21.944				21941.5
20000				43433				19.207				19205.2
20000				43376				17.49				17488.7
20000				43439				16.735				16733.5
20000				43048				11.925				11923.6
20000				43335				12.29				12288.7
20000				43208				14.781				14779.9
20000				43681				17.694				17692
20000				43611				19.749				19747.2
20000				43354				14.143				14141.8
20000				43337				15.034				15032.7
20000				43185				14.159				14158.3
20000				43689				14.957				14955.6
20000				43146				17.95				17948.3
20000				43119				17.442				17440.5
20000				43288				14.854				14852.5
20000				43226				17.381				17379.3
20000				43482				22.431				22428.7
20000				43306				19.054				19051.8
