Auction Parallel ThreadPool (16 Threads): 
Size				Cost				Total Time in s			Total CPU time in ms
5000				10907				0.095				632.757
5000				10907				0.111				687.519
5000				10837				0.098				631.847
5000				10837				0.093				631.744
5000				10837				0.078				639.559
5000				10837				0.095				614.507
5000				10967				0.141				704.26
5000				10967				0.143				689.136
5000				10967				0.142				700.059
5000				10830				0.132				692.713
5000				10830				0.135				692.688
5000				10830				0.159				745.853
5000				10787				0.115				639.238
5000				10787				0.141				655.056
5000				10787				0.103				629.274
5000				10789				0.136				673.112
5000				10789				0.091				657.574
5000				10789				0.111				652.948
5000				10671				0.107				679.489
5000				10671				0.083				645.288
5000				10671				0.092				666.232
5000				10945				0.149				695.389
5000				10945				0.149				688.745
5000				10945				0.138				692.61
5000				10804				0.089				625.813
5000				10804				0.095				656.71
5000				10804				0.096				663.456
5000				10855				0.087				643.557
5000				10855				0.077				608.764
5000				10855				0.073				601.369
5000				10855				0.103				630.956
5000				10813				0.131				696.073
5000				10813				0.097				678.351
5000				10813				0.097				665.6
5000				10931				0.081				644.669
5000				10931				0.092				652.102
5000				10931				0.074				634.418
5000				10784				0.129				710.8
5000				10784				0.12				695.916
5000				10784				0.137				701.044
5000				10758				0.158				721.418
5000				10758				0.117				667.04
5000				10758				0.167				742.426
5000				10971				0.09				639.74
5000				10971				0.086				645.439
5000				10971				0.086				640.178
5000				10585				0.173				749.537
5000				10585				0.187				768.365
5000				10585				0.198				795.667
5000				10803				0.111				705.063
7071				15177				0.225				1430.73
7071				15262				0.202				1299.22
7071				15432				0.23				1286.14
7071				15432				0.186				1195.4
7071				15124				0.184				1270.92
7071				15124				0.189				1273.79
7071				15357				0.208				1348.92
7071				15256				0.335				1502.98
7071				15256				0.233				1351.07
7071				15281				0.218				1346.93
7071				15024				0.244				1335.97
7071				15024				0.267				1376.3
7071				15332				0.204				1397.26
7071				15276				0.216				1391.63
7071				15276				0.255				1434.66
7071				15326				0.155				1264.34
7071				15326				0.159				1229.34
7071				15204				0.144				1184.17
7071				15204				0.138				1175.55
7071				15327				0.179				1210.36
7071				15430				0.146				1193.97
7071				15430				0.156				1223.76
7071				15319				0.201				1329.6
7071				15319				0.241				1413.92
7071				15533				0.28				1404.94
7071				15185				0.221				1367.01
7071				15185				0.161				1280.47
7071				15264				0.176				1273.36
7071				15264				0.184				1292.4
7071				15246				0.208				1337.06
7071				15210				0.244				1369.63
7071				15210				0.276				1411.12
7071				15335				0.192				1308.3
7071				15065				0.308				1474.36
7071				15065				0.351				1496.11
7071				15253				0.246				1373.91
7071				15242				0.237				1411.39
7071				15242				0.258				1452.39
7071				15234				0.253				1368.95
7071				15225				0.284				1467.92
7071				15225				0.236				1386.76
7071				15303				0.154				1231.29
7071				15537				0.206				1381.58
7071				15537				0.185				1300.04
7071				15313				0.287				1370.06
7071				15174				0.238				1376.39
7071				15174				0.205				1349.94
7071				15276				0.158				1230.03
7071				15276				0.134				1186.04
7071				15150				0.257				1398.5
10000				21627				0.304				2510.43
10000				21948				0.475				2731.56
10000				21551				0.458				2549.63
10000				21702				0.387				2748.62
10000				21530				0.417				2652.38
10000				21814				0.419				2658.06
10000				21589				0.586				2786.18
10000				21676				0.558				2707.14
10000				21814				0.308				2371.22
10000				21685				0.272				2257.46
10000				21369				0.311				2414.18
10000				21558				0.259				2311.22
10000				21635				0.509				2712.59
10000				21598				0.575				2897.01
10000				21566				0.395				2688.07
10000				21620				0.343				2590.39
10000				21745				0.418				2615.41
10000				21725				0.37				2591.98
10000				21829				0.413				2605.54
10000				21649				0.5				2561.06
10000				21624				0.618				2892.65
10000				21505				0.397				2409.9
10000				21606				0.503				2750.83
10000				21603				0.475				2693.08
10000				21392				0.417				2665.46
10000				21559				0.612				2842.65
10000				21802				0.488				2854.49
10000				21636				0.295				2394.27
10000				21774				0.472				2578.25
10000				21604				0.357				2598.75
10000				21631				0.483				2861.44
10000				21639				0.571				2841.49
10000				21796				0.434				2478.42
10000				21407				0.378				2512.09
10000				21469				0.598				2849.85
10000				21622				0.453				2600.2
10000				21681				0.409				2658.03
10000				21736				0.459				2600.58
10000				21518				0.64				2876.78
10000				21778				0.548				2786.2
10000				21594				0.479				2745.82
10000				21701				0.417				2613.91
10000				21541				0.54				2871.42
10000				21681				0.351				2515.02
10000				21709				0.482				2764.1
10000				21521				0.483				2822.25
10000				21878				0.537				2830.25
10000				21824				0.296				2444.99
10000				21573				0.297				2421.28
10000				21781				0.62				2871.38
14142				30565				0.997				5371.67
14142				30703				1.211				5595.17
14142				30495				1.506				5634.17
14142				30603				0.857				5359.43
14142				30931				1.128				5707.42
14142				30693				0.68				4937.52
14142				30556				1.279				5376.39
14142				30365				0.854				5199.89
14142				30664				0.852				4906.01
14142				30539				0.986				5367.55
14142				30780				0.845				4930.58
14142				30656				0.83				5107.18
14142				30499				0.71				4996
14142				30418				1.034				5549.79
14142				30643				1.221				5690.38
14142				30618				0.73				4889.36
14142				30747				0.933				5435.02
14142				30623				0.717				4865.11
14142				30743				0.886				5347.29
14142				30960				0.829				5187.52
14142				30740				0.774				5295.01
14142				30748				0.771				4887.75
14142				30673				0.51				4412.8
14142				30610				0.751				5016.03
14142				30454				0.889				5182.73
14142				30843				0.93				5292.6
14142				30735				0.834				4843.38
14142				30331				1.271				5748.19
14142				30485				1.132				5306.78
14142				30576				0.885				5107.41
14142				30742				0.885				5393.44
14142				30593				0.586				4848.47
14142				30541				0.749				5174.9
14142				30417				0.815				4943.81
14142				30540				0.525				4551.09
14142				30404				0.753				5090.93
14142				30634				0.911				5440.29
14142				30602				1.471				5842.96
14142				30414				1.157				5655.89
14142				30799				0.777				5181.28
14142				30150				0.765				4975.91
14142				30727				0.763				5064.23
14142				30392				0.864				5237.64
14142				30632				0.785				5248.14
14142				30762				0.787				5258.7
14142				30760				0.799				5647.94
14142				30734				1.114				5513.22
14142				30486				0.938				5604.43
14142				30605				0.765				5100.76
14142				31142				0.625				5025.18
20000				43807				2.443				12057
20000				43220				1.827				11806.1
20000				43113				2.791				11989.5
20000				43481				1.996				11105.9
20000				43478				1.913				11526.8
20000				43263				2.31				12258.1
20000				43459				2.392				11595.1
20000				43250				3.122				12748.3
20000				42891				1.973				12026.1
20000				42982				2.204				12704.3
20000				43263				1.921				12145.9
20000				43214				2.383				11656.7
20000				43199				2.131				11563.4
20000				43333				1.635				10615
20000				42990				2.846				12217.3
20000				43338				1.618				11853.2
20000				43415				1.234				9685.85
20000				43778				1.625				10738.7
20000				43290				1.363				10774.8
20000				43336				2.95				13764.1
20000				43777				2.033				11474.9
20000				43642				2.025				11304.9
20000				43212				1.639				10878.3
20000				43459				2.426				12277.5
20000				43227				1.488				11171.4
20000				43581				2.653				13367.9
20000				43685				2.564				12355.4
20000				43381				2.623				12197.8
20000				43169				1.741				11192.6
20000				43226				2.545				11856.8
20000				43159				2.007				11450.3
20000				43358				1.894				11740.5
20000				43144				2.707				11931.6
20000				43331				2.585				11881.1
20000				43550				3.613				12240.8
20000				43109				2.203				12519.9
20000				43507				2.055				12071.4
20000				43381				2.167				11232.4
20000				43320				1.998				11362.3
20000				43281				1.743				11500.9
20000				43151				1.178				9568.74
20000				43379				1.856				11261.4
20000				43406				2.066				11405.4
20000				42985				1.645				11487.4
20000				43657				2.187				11987.1
20000				43313				1.642				10909
20000				43379				1.806				11308.9
20000				43581				1.195				9857.33
20000				43146				1.532				11698.1
20000				43184				1.735				11914.6
