Auction Parallel OpenMP (4 Threads): 
Size				Cost				Total Time in s			Total CPU time in ms
5000				10756				0.136				1481.93
5000				10756				0.177				1353.11
5000				10977				0.09				972.865
5000				10977				0.075				967.629
5000				10977				0.076				924.813
5000				10977				0.082				1005.7
5000				10977				0.074				936.949
5000				10713				0.14				1184.68
5000				10713				0.155				1273.77
5000				10713				0.135				1274.9
5000				10713				0.092				1062.07
5000				10918				0.095				1046.73
5000				10918				0.096				1003.71
5000				10918				0.088				998.437
5000				10918				0.085				988.401
5000				10918				0.117				1072.09
5000				10772				0.114				1093.5
5000				10772				0.13				1355.79
5000				10772				0.117				1067.18
5000				10772				0.134				1248.92
5000				10842				0.09				1021.18
5000				10842				0.11				1219.17
5000				10842				0.103				1050.43
5000				10842				0.13				1101.48
5000				10842				0.119				1080.93
5000				10794				0.129				1251.64
5000				10794				0.114				1165.78
5000				10794				0.11				1151.42
5000				10794				0.062				908.497
5000				10751				0.153				1361.88
5000				10751				0.117				1086.21
5000				10751				0.101				1014.42
5000				10751				0.139				1086.52
5000				10800				0.12				1090.48
5000				10800				0.167				1150.02
5000				10800				0.123				1206.08
5000				10800				0.133				1225.16
5000				10958				0.125				1054.12
5000				10958				0.11				1048.16
5000				10958				0.095				1009.88
5000				10958				0.081				1000.59
5000				10958				0.091				1013.42
5000				10944				0.116				1161.46
5000				10944				0.083				970.953
5000				10944				0.097				996.822
5000				10944				0.119				1250.57
5000				10944				0.102				1036.26
5000				10825				0.08				989.831
5000				10825				0.094				962.467
5000				10825				0.106				1262.55
7071				15325				0.21				1784.89
7071				15336				0.199				2036.87
7071				15336				0.173				1671
7071				15230				0.22				1832.39
7071				15230				0.219				1722.38
7071				15246				0.234				1865.85
7071				15246				0.231				1955.26
7071				15389				0.179				1927.97
7071				15389				0.197				1704.36
7071				15425				0.224				1906.11
7071				15425				0.292				1956.4
7071				15355				0.168				1593.09
7071				15355				0.154				1784.98
7071				15355				0.197				1881.61
7071				15313				0.306				2110.26
7071				15313				0.24				1719.11
7071				15305				0.246				1837.72
7071				15305				0.328				2122.75
7071				15358				0.155				1644.8
7071				15358				0.177				1637.57
7071				15437				0.212				1833.63
7071				15437				0.218				1855.76
7071				15253				0.176				1876.96
7071				15253				0.197				1810.99
7071				15444				0.265				1862.96
7071				15444				0.196				1846.28
7071				15091				0.167				1643.4
7071				15091				0.158				1608.93
7071				15365				0.24				1968.1
7071				15365				0.314				2087.17
7071				15333				0.183				1807.83
7071				15333				0.21				1831.45
7071				15278				0.289				1894.47
7071				15278				0.186				1857.61
7071				15253				0.182				1670.5
7071				15253				0.155				1582.37
7071				15253				0.183				1806.24
7071				15110				0.184				1806.68
7071				15110				0.208				1869.92
7071				15303				0.251				1892.54
7071				15303				0.283				2133.74
7071				15219				0.331				2219.2
7071				15219				0.211				1907.02
7071				15244				0.217				1964.08
7071				15244				0.209				1953.34
7071				15375				0.296				1925.53
7071				15375				0.242				1796.64
7071				15351				0.262				2232.88
7071				15351				0.307				1957.71
7071				15552				0.198				1855.81
10000				21649				0.496				3273.91
10000				21690				0.425				2989.95
10000				21637				0.514				3044.92
10000				21728				0.359				2880.18
10000				21553				0.499				3082.29
10000				21688				0.545				3282.4
10000				21751				0.39				3287.08
10000				21415				0.368				3040.62
10000				21603				0.523				3529.73
10000				21821				0.477				3457.1
10000				21687				0.4				3182.49
10000				21793				0.469				3266.57
10000				21585				0.534				3058.64
10000				21630				0.5				3163.52
10000				21575				0.519				3200.17
10000				21567				0.443				3370.94
10000				21742				0.434				3205.07
10000				21651				0.683				3215.88
10000				21583				0.419				3182.73
10000				21832				0.377				2908.38
10000				21583				0.49				3101.69
10000				21543				0.624				3488.15
10000				21886				0.316				2937.75
10000				21769				0.493				3164.84
10000				21628				0.569				3178.52
10000				21575				0.343				2958.69
10000				21732				0.457				3118.4
10000				21777				0.527				3062.62
10000				21582				0.376				3019.59
10000				21514				0.394				2872.42
10000				21472				0.488				3289.88
10000				21742				0.453				3280.79
10000				21785				0.428				3022.93
10000				21804				0.332				2955.27
10000				21472				0.375				2943.93
10000				21424				0.413				3171.91
10000				21559				0.326				2791.45
10000				21559				0.295				2854.29
10000				21406				0.443				3157.36
10000				21659				0.495				2992.8
10000				21513				0.346				3345.59
10000				21596				0.389				3086.39
10000				21840				0.41				3212.07
10000				21602				0.426				3325.41
10000				21680				0.486				3295.34
10000				21871				0.58				3406.57
10000				21492				0.687				3523.99
10000				21503				0.304				3002.47
10000				21708				0.321				3207.18
10000				21459				0.682				3407.29
14142				30588				0.913				5714.54
14142				30573				1.038				5978.93
14142				30439				0.806				5474.35
14142				30663				0.602				5130.62
14142				30788				0.662				5197.82
14142				30342				0.688				5572.7
14142				30647				0.85				5410.11
14142				30411				0.969				5643.25
14142				30464				0.72				5284.32
14142				30591				0.775				5283.94
14142				30656				0.785				5253.29
14142				30742				1.205				6220.2
14142				30447				0.701				5496.98
14142				30453				0.782				5260.75
14142				30307				0.786				5370.83
14142				30411				0.891				5794.57
14142				30589				0.831				5350.8
14142				30695				0.872				5471.8
14142				30510				0.908				5354.41
14142				30850				0.729				5453.01
14142				30484				0.84				5635.01
14142				30424				1.176				6459.15
14142				30763				0.715				5689.78
14142				30520				0.857				5298.64
14142				30602				0.922				5738.77
