Hungarian Serial : 
Size				Cost				Total Time in s			Total CPU time in ms
5000				10852				1.264				1264.06
5000				10790				1.306				1306.85
5000				10731				1.288				1288.18
5000				10812				1.285				1285.18
5000				10870				1.305				1305.71
5000				10835				1.313				1313.77
5000				10766				1.27				1270.72
5000				10846				1.338				1338.22
5000				10847				1.319				1319.37
5000				10800				1.331				1331.66
5000				10748				1.286				1286.71
5000				10783				1.266				1266.3
5000				10870				1.185				1184.86
5000				10790				1.325				1325.49
5000				10813				1.344				1344.3
5000				10789				1.458				1458.34
5000				10652				1.327				1327.31
5000				10874				1.35				1350.62
5000				10910				1.294				1293.95
5000				10768				1.326				1326.51
5000				10812				1.323				1322.94
5000				10801				1.279				1279.81
5000				10864				1.35				1350.59
5000				10666				1.328				1328.66
5000				10898				1.484				1484.35
5000				10894				1.292				1292.43
5000				10950				1.333				1333.09
5000				10786				1.291				1291.31
5000				10860				1.239				1239.27
5000				10813				1.248				1247.93
5000				10986				1.338				1338.78
5000				10801				1.092				1092
5000				10739				1.343				1342.89
5000				10912				1.371				1370.94
5000				10937				1.263				1262.86
5000				10868				1.334				1334.31
5000				10830				1.323				1323.62
5000				10972				1.34				1340.57
5000				10928				1.171				1171.75
5000				10756				1.074				1074.46
5000				10810				1.267				1267.51
5000				10670				1.33				1329.87
5000				10930				1.258				1258.4
5000				10784				1.253				1253.12
5000				10887				1.395				1395.42
5000				10866				1.164				1164.01
5000				10988				1.224				1224.53
5000				10823				1.36				1360.44
5000				10757				1.285				1285.01
5000				10800				1.179				1178.96
7071				15411				2.975				2975.43
7071				15191				2.642				2642.36
7071				15356				2.964				2964.11
7071				15598				2.903				2902.76
7071				15192				3.069				3069.37
7071				15240				2.767				2767.65
7071				15194				2.687				2687.54
7071				15284				3.194				3193.93
7071				15215				2.99				2990.21
7071				15345				2.859				2859.56
7071				15494				2.956				2956.28
7071				15216				3.001				3001.42
7071				15313				3.211				3211.17
7071				15476				2.866				2866.5
7071				15117				2.835				2835.45
7071				15417				2.959				2959.23
7071				15434				2.929				2929.06
7071				15372				3.087				3086.78
7071				15241				2.88				2880.39
7071				15330				2.832				2831.91
7071				15344				2.959				2958.79
7071				15315				2.955				2955.02
7071				15247				2.86				2860.42
7071				15184				2.727				2727.42
7071				15276				2.81				2809.73
7071				15374				2.729				2729.7
7071				15424				3.247				3247.23
7071				15135				3.202				3202.31
7071				15242				3.192				3191.99
7071				15355				2.556				2555.84
7071				15516				3.124				3124.32
7071				15412				2.84				2840.03
7071				15432				2.872				2872.52
7071				15305				2.96				2960.43
7071				15304				2.96				2959.7
7071				15143				2.84				2840.63
7071				15526				3.18				3180.41
7071				15543				2.968				2968.56
7071				15241				2.932				2932.49
