Hungarian Parallel Manual (16 Threads): 
Size				Cost				Total Time in s			Total CPU time in ms
5000				11020				0.551				1410.24
5000				11020				0.552				1347.13
5000				10811				0.473				1186.35
5000				10812				0.416				1115.63
5000				10811				0.386				1087.11
5000				10879				0.491				1234.68
5000				10879				0.549				1344.33
5000				10789				0.479				1211.51
5000				10900				0.495				1214.91
5000				10900				0.507				1247.08
5000				10703				0.579				1388.55
5000				10953				0.564				1380.11
5000				10952				0.596				1432.52
5000				10797				0.504				1273.76
5000				10933				0.413				1158.29
5000				10934				0.404				1151.07
5000				10851				0.429				1162.32
5000				10851				0.528				1320.24
5000				10844				0.5				1252.9
5000				10844				0.498				1268.04
5000				10861				0.464				1224.81
5000				10754				0.492				1284.19
5000				10754				0.521				1299.74
5000				10852				0.5				1268.97
5000				10852				0.502				1279.75
5000				10800				0.523				1344.95
5000				10611				0.41				1146.77
5000				10611				0.434				1168.14
5000				10743				0.376				1066.68
5000				10743				0.372				1069.69
5000				10850				0.556				1382.57
5000				10850				0.551				1365.52
5000				10859				0.477				1272.18
5000				10888				0.489				1263.97
5000				10888				0.49				1255.61
5000				10954				0.507				1261.53
5000				10894				0.453				1214.9
5000				10894				0.454				1192.63
5000				10750				0.495				1255.86
5000				10750				0.494				1277.54
5000				10795				0.546				1334.49
5000				10816				0.499				1315.26
5000				10816				0.522				1316.85
5000				10775				0.457				1182.88
5000				10774				0.451				1214.03
5000				10880				0.445				1184.81
5000				10772				0.545				1297.84
5000				10772				0.541				1250.93
5000				10860				0.484				1237.93
5000				10850				0.489				1222.54
7071				15342				0.768				2565.25
7071				15423				0.802				2650.26
7071				15343				0.768				2558.46
7071				15410				0.672				2330.95
7071				15164				0.693				2429.57
7071				15464				0.743				2481.02
7071				15386				0.749				2563.34
7071				15305				0.709				2521.11
7071				15227				0.684				2345.96
7071				15368				0.891				2817.26
7071				15222				0.773				2607.73
7071				15127				0.786				2659.23
7071				15390				0.629				2347.11
7071				15286				0.691				2432.27
7071				15368				0.736				2511.11
7071				15447				0.726				2531.78
7071				15399				0.724				2532.82
7071				15362				0.871				2780.23
7071				15176				0.798				2566.49
7071				15191				0.779				2571.54
7071				15397				0.634				2370.42
7071				15397				0.635				2355.28
7071				15473				0.705				2498.97
7071				14963				0.631				2266.32
7071				15294				0.716				2397.54
7071				15333				0.717				2458.68
7071				15167				0.759				2623.82
7071				15395				0.769				2555.47
7071				15483				0.689				2498.34
7071				15202				0.739				2464.45
7071				15287				0.717				2455.3
7071				15466				0.686				2402.89
7071				15281				0.874				2744.81
7071				15281				0.747				2501.59
7071				15420				0.774				2588.25
7071				15290				0.748				2517.47
7071				15253				0.737				2487.23
7071				15244				0.749				2486.97
7071				15137				0.66				2453.18
7071				15312				0.72				2466.29
7071				15416				0.762				2573.07
7071				15063				0.749				2534.68
7071				15270				0.923				2824.51
7071				15428				0.693				2489.33
7071				15359				0.749				2507.23
7071				15332				0.678				2364.37
7071				15376				0.635				2380.01
7071				15377				0.66				2437.21
7071				15407				0.874				2714.72
7071				15389				0.759				2539.76
10000				21543				1.351				6143.27
10000				21753				1.205				5892.53
10000				21896				1.265				5817.98
10000				21774				1.284				5990
10000				21586				1.166				5744.56
10000				21598				1.339				6298.05
10000				21797				1.095				5583.85
10000				21708				1.346				6068.43
10000				21699				1.295				5902.21
10000				21659				1.353				6037.49
10000				21764				1.159				5649.05
10000				21905				1.176				5878.83
10000				21566				1.218				5894.49
10000				21574				1.35				5894.99
10000				21460				1.086				5499.58
10000				21716				1.23				6084.27
10000				21791				1.326				6110.85
10000				21539				1.163				5731.25
10000				21791				1.176				5742.54
10000				21667				1.172				5788.98
10000				21556				1.171				5656.86
10000				21965				1.406				6494.82
10000				21602				1.25				5961.92
10000				21673				1.372				6115.75
10000				21600				1.305				5771.99
10000				21803				1.198				5766.13
10000				21766				1.411				6163.08
10000				21838				1.234				5967.38
10000				21729				1.224				5904.12
10000				21524				1.292				5994.32
10000				21541				1.19				5831.89
10000				21829				1.087				5739
10000				21700				1.257				5934.91
10000				21449				1.137				5950.32
10000				21519				1.165				5797.61
10000				21770				1.191				5890.78
10000				21498				1.211				5828.4
10000				21666				1.326				6095.59
10000				21620				1.187				5705.15
10000				21585				1.209				5925.38
10000				21692				0.998				5506.27
10000				21619				1.16				5765.61
10000				21674				1.401				6505.87
10000				21803				1.114				5742.63
10000				21543				1.112				5821.56
