Hungarian Parallel ThreadPool (16 Threads): 
Size				Cost				Total Time in s			Total CPU time in ms
5000				10949				0.183				1743.12
5000				10947				0.183				1742.16
5000				10826				0.215				2016.83
5000				10826				0.199				1821.62
5000				10828				0.221				2027.1
5000				10901				0.21				1954.87
5000				10898				0.202				1898.16
5000				10900				0.193				1761.89
5000				10910				0.189				1802.45
5000				10909				0.189				1753.29
5000				10910				0.188				1739.64
5000				10908				0.2				1861.02
5000				10720				0.188				1753.93
5000				10723				0.188				1746.8
5000				10721				0.195				1827.18
5000				10777				0.196				1814.37
5000				10780				0.18				1679.63
5000				10778				0.182				1704.97
5000				10860				0.19				1784.48
5000				10860				0.188				1750.56
5000				10864				0.178				1700.81
5000				10860				0.191				1798.8
5000				10785				0.193				1806.96
5000				10785				0.209				1977.34
5000				10786				0.202				1897.45
5000				10884				0.184				1750.91
5000				10884				0.196				1856.87
5000				10883				0.202				1878.5
5000				10849				0.183				1747.95
5000				10850				0.169				1614.88
5000				10849				0.198				1819.22
5000				10849				0.187				1777.08
5000				10853				0.174				1661.45
5000				10855				0.181				1712.9
5000				10853				0.184				1719.34
5000				10854				0.186				1714.86
5000				10851				0.184				1725.27
5000				10851				0.193				1793.47
5000				10769				0.195				1782.63
5000				10769				0.206				1918.34
5000				10768				0.217				1979.79
5000				10852				0.196				1797.7
5000				10851				0.161				1509.05
5000				10851				0.19				1781.18
5000				10850				0.186				1721.61
5000				10892				0.201				1821.09
5000				10893				0.198				1826.38
5000				10894				0.183				1766.91
5000				10795				0.175				1619.71
5000				10793				0.174				1648.33
7071				15417				0.407				3978.37
7071				15357				0.353				3496.85
7071				15357				0.381				3754.58
7071				15284				0.406				3999.32
7071				15527				0.432				4278.58
7071				15527				0.385				3793.3
7071				15481				0.354				3642.18
7071				15157				0.392				3780.38
7071				15157				0.368				3601.82
7071				15175				0.38				3828.35
7071				15175				0.351				3611.7
7071				15512				0.403				4013.38
7071				15462				0.32				3314
7071				15462				0.339				3493.31
7071				15412				0.413				4137.56
7071				15409				0.375				3650.05
7071				15423				0.34				3355.42
7071				15423				0.355				3582.16
7071				15352				0.411				4124.35
7071				15309				0.381				3727.43
7071				15309				0.437				4225.26
7071				15277				0.401				3968.58
7071				15084				0.395				3935.8
7071				15084				0.366				3691.95
7071				15138				0.384				3826.65
7071				15139				0.369				3589.28
7071				15197				0.394				3832.46
7071				15190				0.388				3840.01
7071				15191				0.369				3594.53
7071				15224				0.375				3725.25
7071				15224				0.378				3775.33
7071				15255				0.417				4014.93
7071				15273				0.395				3929.09
7071				15272				0.399				3877.49
7071				15278				0.396				3814.26
7071				15279				0.398				3819.55
7071				15278				0.381				3812.09
7071				15448				0.403				4042.56
7071				15448				0.41				4014.79
7071				15128				0.402				3919.87
7071				15163				0.371				3679.17
7071				15164				0.424				4189.49
7071				15276				0.392				3908.62
7071				15276				0.36				3656.66
7071				15162				0.37				3624.01
7071				15227				0.41				4018.8
7071				15226				0.403				3972.25
7071				15332				0.425				4245.06
7071				15346				0.394				3866.13
7071				15346				0.368				3727.1
10000				21569				0.707				7622.4
10000				21784				0.809				8886.33
10000				21620				0.78				8116.05
10000				21620				0.802				8511.88
10000				21481				0.806				8338.94
10000				21791				0.892				9313.02
10000				21914				0.831				8745.01
10000				21505				0.796				8329.08
10000				21749				0.817				8623.14
10000				21892				0.769				8161.57
10000				21496				0.775				8290.4
10000				21613				0.743				7908.75
10000				21592				0.784				8462.22
10000				21510				0.846				9007.79
10000				21634				0.779				8445.76
10000				21736				0.874				9094.34
10000				21712				0.774				8148.1
10000				21570				0.78				8248
10000				21644				0.774				8112.42
10000				21547				0.815				8432.66
10000				21484				0.737				7896.61
10000				21588				0.722				7508.38
10000				21522				0.851				8855.33
10000				21829				0.827				8571.44
10000				21675				0.705				7602.71
10000				21740				0.817				8458.7
10000				21664				0.763				7991.98
10000				21668				0.791				8108.91
10000				21744				0.857				8830.53
10000				21722				0.754				7967.91
10000				21501				0.791				8415.43
10000				21633				0.806				8429.04
10000				21420				0.922				9424.29
10000				21764				0.861				9170.17
10000				21675				0.722				7942.26
10000				21799				0.792				8323.62
10000				21561				0.875				9082.18
10000				21457				0.822				8731.53
10000				21609				0.848				8806.4
10000				21584				0.785				8187.39
10000				21735				0.83				8580.72
10000				21756				0.752				7913.22
10000				21578				0.788				8122.37
10000				21831				0.765				8058.23
10000				21765				0.821				8515.28
10000				21614				0.732				8104.73
10000				21624				0.747				7861.54
10000				21504				0.837				8663.98
10000				21527				0.801				8221.88
10000				21662				0.717				7577
14142				30526				1.451				17356.8
14142				30619				1.797				20797.9
14142				30350				1.473				17308.6
14142				30908				1.623				19205.4
14142				30546				1.808				20606.6
14142				30436				1.628				18943.2
14142				30528				1.594				18459.7
14142				30664				1.815				20643.5
14142				30455				1.666				19467.9
14142				30527				1.731				19886.1
14142				30806				1.729				20132.6
14142				30472				1.612				18534.9
14142				30653				1.656				19084.7
14142				30647				1.578				18616.2
14142				30595				1.65				18998.5
14142				30652				1.519				18266
14142				30987				1.607				18595.7
14142				30424				1.653				19110.8
14142				30908				1.578				18920.3
14142				30435				1.678				19027.5
14142				30819				1.609				18257.5
14142				30555				1.563				18396.8
14142				30430				1.746				19997.6
14142				30703				1.428				17059.3
14142				30734				1.649				19421.6
14142				30504				1.602				18952.3
14142				30543				1.558				17793.3
14142				30630				1.8				20574.5
14142				30414				1.78				20307.5
14142				30448				1.588				18549.1
14142				30553				1.547				18475.7
14142				30566				1.674				19666
14142				30517				1.617				18736.5
14142				30414				1.579				18536.8
14142				30409				1.565				18521.8
14142				30475				1.53				18522.6
14142				30511				1.649				19022.1
14142				30725				1.615				18944.6
14142				30528				1.597				19027.2
14142				30921				1.75				19569.2
14142				30536				1.518				17660.7
14142				30565				1.692				19513.3
14142				30446				1.691				19271.7
14142				30737				1.671				18906.2
14142				30821				1.764				20231.3
14142				30619				1.614				18080.8
14142				30678				1.707				19624.8
14142				30669				1.762				20419.1
14142				31005				1.587				18576.7
14142				30468				1.611				18489
20000				43161				3.503				44893.6
20000				43147				3.734				46435.1
20000				43543				3.839				47272.3
20000				43539				3.591				44435.2
20000				43285				3.849				47606.9
20000				43168				3.698				45418.8
20000				43211				3.792				46691.8
20000				43295				3.863				48356.1
20000				43277				3.717				45918.3
20000				43144				3.659				46623.7
20000				43365				4.109				49716.9
20000				43441				4.507				54650.6
20000				43343				3.751				46729.4
20000				43330				3.83				47444.4
