Hungarian Parallel OpenMP (4 Threads): 
Size				Cost				Total Time in s			Total CPU time in ms
5000				10838				0.305				1027.89
5000				10899				0.329				1122.42
5000				10899				0.344				1183.07
5000				10810				0.345				1187.7
5000				10810				0.346				1189.94
5000				10954				0.323				1099.85
5000				10954				0.323				1099.52
5000				10954				0.321				1091.58
5000				10675				0.315				1067.15
5000				10675				0.32				1087.12
5000				10918				0.318				1078.63
5000				10918				0.329				1122.84
5000				10733				0.315				1067.84
5000				10733				0.334				1143.25
5000				10733				0.321				1091.59
5000				10657				0.338				1160.78
5000				10657				0.342				1174.77
5000				10894				0.36				1247.15
5000				10894				0.359				1244.4
5000				10768				0.31				1046.29
5000				10768				0.315				1068.41
5000				10866				0.351				1213.25
5000				10866				0.363				1262.63
5000				10786				0.332				1138.63
5000				10786				0.294				986.328
5000				10786				0.315				1065.61
5000				10847				0.349				1203.46
5000				10847				0.356				1232.61
5000				10862				0.327				1116.24
5000				10862				0.325				1107.63
5000				10953				0.318				1080.72
5000				10953				0.319				1084.53
5000				10795				0.349				1206.11
5000				10795				0.343				1181.55
5000				10795				0.349				1205.88
5000				10934				0.347				1194.63
5000				10934				0.336				1151.48
5000				10950				0.323				1101.3
5000				10950				0.286				953.736
5000				10978				0.318				1081.08
5000				10978				0.314				1064.55
5000				10851				0.358				1241.38
5000				10851				0.352				1214.18
5000				10907				0.386				1351.65
5000				10907				0.361				1254.79
5000				10730				0.319				1083.02
5000				10730				0.348				1198.86
5000				10730				0.322				1099.26
5000				10810				0.339				1165.95
5000				10810				0.326				1111.06
7071				15322				0.731				2514.43
7071				15276				0.704				2402.12
7071				15345				0.769				2663.01
7071				15488				0.748				2579
7071				15228				0.722				2477.78
7071				15400				0.745				2567.19
7071				15270				0.673				2281.42
7071				15292				0.761				2631.36
7071				15196				0.713				2442.44
7071				15386				0.759				2621.72
7071				15347				0.717				2456.97
7071				15334				0.675				2286.17
7071				15387				0.756				2612.93
7071				15088				0.664				2239.39
7071				15436				0.699				2387.42
7071				15058				0.755				2606
7071				15225				0.706				2416.18
7071				15225				0.754				2603.18
7071				15490				0.742				2555.82
7071				15193				0.704				2405.61
7071				15193				0.705				2410.21
7071				15280				0.744				2565.75
7071				15259				0.742				2554.41
7071				15419				0.733				2515.03
7071				15177				0.677				2298.46
7071				15592				0.728				2499.58
7071				15277				0.759				2625.59
7071				15469				0.709				2426.42
7071				15213				0.728				2499.25
7071				15273				0.721				2471.7
7071				15240				0.7				2387.78
7071				15310				0.733				2520.08
7071				15327				0.703				2401.64
7071				15367				0.712				2436.48
7071				15367				0.759				2628.08
7071				15279				0.688				2341.07
7071				15177				0.652				2195.8
7071				15495				0.689				2340.55
7071				15206				0.725				2486
7071				15263				0.704				2400.14
7071				15438				0.7				2387.94
7071				15595				0.747				2574.66
7071				15394				0.709				2423.12
7071				15329				0.778				2697.93
7071				15494				0.718				2462.46
7071				15230				0.726				2490.54
7071				15341				0.729				2505.29
7071				15222				0.715				2448.96
7071				15473				0.741				2552.18
7071				15368				0.744				2564.83
10000				21790				1.547				5206.06
10000				21645				1.548				5229.35
10000				21619				1.482				4951.22
10000				21696				1.651				5641.05
10000				21701				1.614				5479.71
10000				21637				1.72				5907.44
10000				21617				1.621				5504.75
10000				21720				1.625				5524.05
10000				21573				1.62				5503.85
10000				21687				1.551				5236
10000				21666				1.581				5350.38
10000				21678				1.687				5785.27
10000				21871				1.541				5190.07
10000				21748				1.606				5460.45
10000				21566				1.618				5494.94
10000				21692				1.621				5523.99
10000				21671				1.676				5731.92
10000				21629				1.662				5684.89
10000				21859				1.498				4979.89
10000				21511				1.618				5506.27
10000				21572				1.505				5030.73
10000				21585				1.606				5429.17
10000				21377				1.74				5986.54
10000				21839				1.64				5548.82
10000				21850				1.665				5686.36
10000				21514				1.618				5500.44
10000				21689				1.627				5530.43
10000				21651				1.548				5222.84
10000				21285				1.605				5444.96
10000				21600				1.593				5408.31
10000				21509				1.653				5631.43
10000				21577				1.64				5590.19
10000				21717				1.603				5436.24
10000				21400				1.639				5570.05
10000				21656				1.664				5678.38
10000				21769				1.587				5350.79
10000				21433				1.541				5192.12
10000				21647				1.583				5358.44
10000				21488				1.563				5275.35
10000				21501				1.668				5674.5
10000				21606				1.636				5570.95
10000				21713				1.562				5279.95
10000				21755				1.561				5274.26
10000				21529				1.527				5140.55
10000				21683				1.56				5262.2
10000				21518				1.448				4826.88
10000				21691				1.732				5955.23
10000				21783				1.588				5383.79
10000				21489				1.524				5125.21
10000				21804				1.688				5783.13
14142				30638				2.648				8554.79
14142				30702				2.763				8996.53
14142				30690				2.732				8874.49
14142				30341				2.766				9006.43
14142				30466				2.777				9069.11
14142				30535				2.712				8790.12
14142				30668				2.892				9501.59
14142				30459				2.84				9305.42
14142				30697				2.872				9424.28
14142				30532				2.829				9264
14142				30473				2.645				8503.95
14142				30643				2.597				8329.85
14142				30786				2.961				9781.15
14142				30670				2.768				9045.03
14142				30463				2.729				8877.52
14142				30837				2.872				9444.8
14142				30759				2.758				8972.35
14142				30731				2.621				8452.31
14142				30989				2.754				8981.5
14142				30823				2.803				9180.97
14142				30897				2.857				9404.16
14142				30471				2.87				9450.88
14142				30905				2.76				9007.98
14142				30518				2.686				8708.99
14142				30518				2.913				9617.94
14142				30536				2.762				9016.72
14142				30585				2.714				8830.19
14142				30790				2.9				9577.87
14142				30401				2.809				9200.24
14142				30390				2.674				8645.56
14142				30525				2.718				8827.75
14142				30543				2.714				8809.2
14142				30514				2.715				8828.48
14142				30346				2.765				8994.86
14142				30847				2.713				8788.64
14142				30811				2.745				8931.92
14142				30764				2.867				9407.76
14142				30724				2.781				9075.13
14142				31056				2.679				8658.95
14142				30545				2.62				8391.59
14142				30704				2.748				8885.38
14142				30561				2.637				8491.1
14142				30501				2.781				9087.16
14142				30731				2.611				8398.18
14142				30628				2.913				9596.6
14142				30728				2.897				9532.42
14142				30607				2.851				9346.34
14142				30474				2.721				8816.31
14142				30630				2.681				8650.5
14142				30487				2.694				8707.85
20000				43306				8.23				28028.4
20000				43691				7.846				26813.9
20000				43203				8.15				27684.2
20000				43475				7.987				27170.2
20000				43692				8.279				28150
20000				43245				7.633				25694.7
20000				43404				7.638				25937.5
20000				43284				8.446				28713.7
20000				43484				8.063				27352
20000				43038				7.891				26903.6
20000				43026				7.755				26431.9
20000				43285				7.985				27255.4
20000				43455				7.678				25870.3
20000				43266				7.823				26626.6
20000				43308				8.01				27375.8
20000				43163				7.756				26135.5
20000				43133				7.579				25340
20000				43381				7.894				26789.6
20000				43388				7.844				26548.8
20000				43133				8.28				28489.3
20000				43115				7.714				26195.6
20000				43706				8.062				27315.7
20000				43446				8.419				29161.3
20000				43201				7.811				26562.4
20000				43465				7.39				24956.6
20000				43370				8.018				27111.3
20000				43360				8.112				27293.6
20000				43543				7.493				25238.7
20000				43402				7.781				26501.6
20000				43392				8.09				27846
20000				43389				8.139				27969.1
20000				43073				8.441				29013.8
20000				43163				7.695				25879.6
20000				43509				8.052				27278
20000				43005				7.952				27067.8
20000				43275				7.757				26402.9
20000				43579				7.754				26450
20000				43353				7.865				26781.7
20000				43232				8.216				28337.1
20000				43440				7.944				27180.5
20000				43356				8.25				28450.3
20000				43643				8.015				27186.8
20000				43666				8.44				28846.4
20000				43027				7.579				25405.9
20000				43034				8.265				28319.9
20000				43181				8.139				27590.4
20000				43287				7.992				27092.4
20000				43072				7.589				25489.3
20000				43407				8.028				27162.2
20000				43248				8.463				29167.2
